Investigator,Ghislaine,Time (s),Electrode,Amplitude(mV)
,,490.21816,B6_32,0.017
,,490.2428,C2_31,0.015
,,495.96352,A1_23,0.015
,,497.91192,B6_32,0.018
,,498.15168,B3_21,0.013
,,498.80288,D2_12,0.017
,,499.0264,D2_24,0.02
,,499.14312,D5_12,0.009
,,502.3092,D2_12,0.046
,,503.15776,A1_14,0.017
,,503.19456,A1_23,0.016
,,503.30608,D2_24,0.018
,,504.52904,D2_24,0.022
,,505.25768,D2_24,0.018
,,506.92352,D2_12,0.026
,,507.42968,A1_14,0.02
,,507.43384,D2_12,0.032
,,507.58784,D2_12,0.025
,,509.6348,D2_12,0.046
,,510.20272,A1_23,0.015
,,510.5468,D2_24,0.021
,,510.70712,B2_24,0.016
,,511.21928,A1_23,0.015
,,513.0204,A1_23,0.016
,,513.08056,D2_12,0.028
,,513.92952,B6_32,0.021
,,514.01064,D2_24,0.02
,,515.17304,D2_24,0.02
,,515.7532,B6_32,0.02
,,516.96584,D2_12,0.029
,,517.17456,D3_24,0.013
,,520.81192,D2_12,0.045
,,521.17272,D2_12,0.048
,,521.348,D2_12,0.039
,,521.44936,A1_23,0.014
,,522.62408,A1_23,0.013
,,522.69008,A1_14,0.015
,,523.0992,D2_24,0.018
,,523.40632,D5_44,0.014
,,525.6584,D2_24,0.023
,,529.1592,A1_14,0.017
,,530.56712,D2_24,0.017
,,533.87576,B6_14,0.013
,,534.12808,B6_14,0.016
,,534.18944,A1_23,0.014
,,536.75592,B4_33,0.013
,,539.71432,D5_44,0.013
,,539.78968,D3_24,0.011
,,541.27016,A1_23,0.014
,,541.388,D2_12,0.045
,,541.38944,A2_31,0.01
,,541.6236,D2_12,0.041
,,541.71688,A1_23,0.016
,,541.82144,A1_23,0.014
,,543.152,B6_32,0.016
,,543.32704,D2_24,0.017
,,543.90184,A1_23,0.015
,,545.82056,A1_23,0.014
,,545.85768,D2_24,0.018
,,546.49688,A1_23,0.016
,,547.38608,A1_23,0.016
,,548.92672,A1_23,0.016
,,552.36624,A3_12,0.011
,,552.98872,A1_23,0.015
,,555.6708,A1_23,0.018
,,556.24376,A1_23,0.015
,,556.44128,A1_23,0.015
,,556.76336,B4_33,0.013
,,558.678,A1_23,0.014
,,559.0788,A1_23,0.015
,,560.28088,A1_23,0.015
,,561.33336,A1_23,0.017
,,561.94432,C6_43,0.018
,,562.85904,A1_23,0.017
,,563.8924,A1_23,0.019
,,565.80768,D2_12,0.044
,,568.14536,B4_24,0.011
,,568.43112,B6_32,0.018
,,568.90384,D2_12,0.045
,,571.24064,C3_13,0.01
,,572.09904,A3_12,0.011
,,573.1412,A1_23,0.015
,,574.25888,D2_24,0.02
,,574.46136,A1_23,0.019
,,574.49256,D2_12,0.017
,,578.48952,B5_21,0.013
,,579.618,A1_23,0.015
,,580.75328,D2_24,0.02
,,581.424,A6_22,0.014
,,584.73552,D2_24,0.018
,,586.34192,B5_21,0.013
,,588.75248,D2_12,0.018
,,590.28792,A1_23,0.013
,,592.87,D2_24,0.015
,,592.97752,D2_12,0.016
