Investigator,Ghislaine,,Time (s),Electrode,Amplitude(mV)
,,,561.3912,B2_32,0.02
,,,561.39504,B5_44,0.01
,,,561.39552,B5_32,0.016
,,,561.3956,B2_31,0.018
,,,561.39584,B2_42,0.02
,,,561.40112,B2_22,0.02
,,,561.40136,B2_31,0.023
,,,561.40176,B2_13,0.017
,,,561.40208,B2_32,0.017
,,,561.40216,B2_42,0.021
,,,561.4024,B5_31,0.009
,,,561.40272,B5_44,0.021
,,,561.4032,B5_43,0.016
,,,561.4036,B2_12,0.016
,,,561.40384,B5_11,0.012
,,,561.40408,B2_43,0.021
,,,561.40416,B5_12,0.015
,,,561.40528,B5_14,0.018
,,,561.40544,B2_13,0.026
,,,561.40544,B5_41,0.009
,,,561.40576,B2_21,0.022
,,,561.40632,B5_44,0.02
,,,561.40672,B5_33,0.06
,,,561.40952,B2_14,0.018
,,,561.40976,B5_24,0.033
,,,561.40992,B5_14,0.013
,,,561.4104,B2_23,0.016
,,,561.41088,B2_11,0.02
,,,561.412,B2_34,0.022
,,,561.41208,B2_14,0.021
,,,561.41248,B5_24,0.014
,,,561.41256,B2_13,0.02
,,,561.41264,B5_41,0.01
,,,561.41312,B2_22,0.015
,,,561.41528,B2_34,0.028
,,,561.41656,B5_11,0.022
,,,561.41752,B2_31,0.019
,,,561.41768,B2_33,0.017
,,,561.41768,B5_24,0.019
,,,561.41944,B2_12,0.019
,,,561.41952,B2_14,0.02
,,,561.42,B2_23,0.015
,,,561.42072,B2_42,0.02
,,,561.422,B2_34,0.018
,,,561.42256,B2_13,0.017
,,,561.42432,B2_42,0.021
,,,561.42512,B5_44,0.024
,,,561.42608,B2_21,0.022
,,,561.42672,B2_13,0.021
,,,561.42672,B5_34,0.014
,,,561.42696,B2_34,0.018
,,,561.42712,B2_14,0.028
,,,561.42728,B2_42,0.022
,,,561.42752,B2_11,0.022
,,,561.43008,B2_24,0.016
,,,561.43192,B5_24,0.015
,,,561.43224,B2_42,0.018
,,,561.4324,B2_43,0.022
,,,561.43264,B2_22,0.02
,,,561.4356,B2_11,0.017
,,,561.43664,D3_32,0.013
,,,561.43672,B2_14,0.018
,,,561.4392,B5_14,0.011
,,,561.43928,B5_11,0.018
,,,561.43968,B2_42,0.028
,,,561.44048,B2_13,0.021
,,,561.44096,B2_31,0.025
,,,561.44208,B2_43,0.018
,,,561.44344,B2_42,0.018
,,,561.44536,B2_24,0.019
,,,561.4476,B2_31,0.018
,,,561.44848,B5_44,0.013
,,,561.4488,B5_11,0.014
,,,561.44888,B2_21,0.014
,,,561.45008,B5_14,0.015
,,,561.45128,B2_23,0.02
,,,561.45136,B5_24,0.013
,,,561.45144,B5_32,0.011
,,,561.45456,B5_32,0.016
,,,561.45584,B2_14,0.019
,,,561.45704,B2_33,0.017
,,,561.45864,B2_31,0.018
,,,561.46016,B5_44,0.024
,,,561.4604,B2_34,0.014
,,,561.46048,B5_22,0.016
,,,561.46136,B5_11,0.019
,,,561.46232,B5_14,0.016
,,,561.46248,B2_32,0.018
,,,561.46272,B5_33,0.017
,,,561.46272,B5_44,0.022
,,,561.46352,B2_14,0.02
,,,561.47072,B2_12,0.013
,,,561.47176,B5_14,0.02
,,,561.47248,B5_43,0.017
,,,561.47264,B2_11,0.019
,,,561.47336,B5_31,0.01
,,,561.47472,B2_34,0.018
,,,561.47496,B2_12,0.021
,,,561.47664,B2_13,0.015
,,,561.47904,B5_33,0.017
,,,561.47984,B2_32,0.016
,,,561.4804,B2_13,0.018
,,,561.48544,B5_24,0.017
,,,561.48824,B1_23,0.015
,,,561.49056,B2_31,0.019
,,,561.49312,B2_13,0.012
,,,561.49376,B2_32,0.017
,,,561.49376,B5_22,0.019
,,,561.49464,B4_44,0.019
,,,561.49688,B5_43,0.022
,,,561.49704,B5_23,0.022
,,,561.49832,B5_14,0.016
,,,561.49848,B2_13,0.014
,,,561.4988,B5_22,0.016
,,,561.49912,B5_24,0.02
,,,561.49936,B5_34,0.017
,,,561.5036,B2_12,0.024
,,,561.5044,B5_34,0.018
,,,561.50488,D6_43,0.015
,,,561.50952,B5_14,0.019
,,,561.51072,B5_24,0.022
,,,561.51168,B5_32,0.014
,,,561.51496,B5_23,0.036
,,,561.51496,B5_33,0.065
,,,561.51528,B5_21,0.021
,,,561.51536,D1_13,0.015
,,,561.51696,B5_13,0.018
,,,561.51696,B5_14,0.036
,,,561.51832,B5_43,0.013
,,,561.51912,B5_11,0.02
,,,561.52016,B5_12,0.018
,,,561.5212,B5_23,0.025
,,,561.52136,B5_21,0.016
,,,561.52144,B5_33,0.015
,,,561.522,B5_22,0.02
,,,561.52256,B5_42,0.015
,,,561.52432,B5_24,0.015
,,,561.52528,B5_21,0.021
,,,561.52528,B5_31,0.015
,,,561.52584,B5_12,0.014
,,,561.5272,B5_24,0.017
,,,561.52912,B2_31,0.019
,,,561.52912,B5_11,0.022
,,,561.53136,B2_34,0.019
,,,561.53232,B5_11,0.021
,,,561.53392,B5_22,0.016
,,,561.534,B5_32,0.013
,,,561.53416,B5_34,0.014
,,,561.53432,B5_44,0.028
,,,561.53504,B5_14,0.035
,,,561.5364,B5_31,0.015
,,,561.53672,B5_33,0.046
,,,561.5368,B5_21,0.023
,,,561.53728,B5_12,0.013
,,,561.53728,B5_43,0.039
,,,561.53744,B5_23,0.022
,,,561.53744,B5_44,0.025
,,,561.53912,B5_24,0.014
,,,561.54032,B5_13,0.019
,,,561.54048,B5_23,0.019
,,,561.5412,B5_21,0.016
,,,561.54208,B5_11,0.019
,,,561.54224,B5_34,0.014
,,,561.54488,B5_33,0.063
,,,561.54544,B2_13,0.017
,,,561.54544,B5_44,0.021
,,,561.54744,B5_22,0.017
,,,561.54744,B5_24,0.012
,,,561.54816,B5_11,0.019
,,,561.54984,B5_14,0.015
,,,561.55056,D3_11,0.03
,,,561.55096,D3_21,0.046
,,,561.55144,B5_44,0.025
,,,561.5516,B5_31,0.012
,,,561.55168,B5_22,0.028
,,,561.5524,B5_42,0.021
,,,561.55248,B5_33,0.014
,,,561.55248,B5_34,0.012
,,,561.55368,B5_24,0.014
,,,561.55416,B5_11,0.019
,,,561.5556,B2_12,0.014
,,,561.55568,B2_11,0.018
,,,561.55592,B5_14,0.016
,,,561.55616,B5_22,0.016
,,,561.55672,B5_23,0.02
,,,561.55768,D3_32,0.013
,,,561.55872,B5_24,0.016
,,,561.55904,B5_44,0.022
,,,561.56248,B5_21,0.018
,,,561.56928,B2_12,0.018
,,,561.56984,D3_11,0.024
,,,561.57,B5_22,0.011
,,,561.57024,D3_21,0.047
,,,561.57136,B2_31,0.021
,,,561.57216,B5_33,0.02
,,,561.57328,B2_23,0.014
,,,561.5768,B2_24,0.018
,,,561.5768,B5_13,0.013
,,,561.5768,D3_32,0.012
,,,561.57824,B2_33,0.018
,,,561.58224,D3_31,0.014
,,,561.58512,B5_44,0.019
,,,561.58608,B2_31,0.026
,,,561.58704,B2_43,0.018
,,,561.58976,B5_11,0.018
,,,561.59056,B5_43,0.018
,,,561.59096,B2_23,0.016
,,,561.5916,B2_31,0.019
,,,561.5916,D5_44,0.02
,,,561.5924,B5_31,0.011
,,,561.59264,B5_22,0.029
,,,561.59312,B2_12,0.021
,,,561.59344,B2_11,0.029
,,,561.59648,B2_24,0.024
,,,561.59744,B5_21,0.017
,,,561.59784,B2_14,0.021
,,,561.59832,B5_11,0.018
,,,561.59896,B5_24,0.017
,,,561.60128,B5_32,0.015
,,,561.60304,B2_14,0.02
,,,561.60352,B2_31,0.018
,,,561.6088,B5_32,0.015
,,,561.61056,B2_11,0.017
,,,561.61056,B5_24,0.017
,,,561.61464,D1_13,0.013
,,,561.61552,B2_11,0.014
,,,561.6164,B2_14,0.021
,,,561.62176,B2_12,0.019
,,,561.62688,B1_31,0.019
,,,561.62696,D3_11,0.024
,,,561.62736,D3_21,0.048
,,,561.63,B5_21,0.019
,,,561.6304,B5_12,0.014
,,,561.63256,B2_13,0.017
,,,561.63304,B2_14,0.024
,,,561.63408,D3_32,0.015
,,,561.63456,B1_42,0.018
,,,561.63728,B2_23,0.016
,,,561.63768,B5_11,0.012
,,,561.64144,B5_23,0.023
,,,561.64176,B5_41,0.008
,,,561.64216,B5_13,0.017
,,,561.64232,B5_24,0.018
,,,561.64256,B5_21,0.02
,,,561.64336,B2_31,0.016
,,,561.64416,B5_44,0.021
,,,561.6444,B5_13,0.012
,,,561.64512,B5_41,0.013
,,,561.64592,B5_32,0.015
,,,561.648,B5_42,0.02
,,,561.64864,B5_43,0.015
,,,561.64872,B5_44,0.032
,,,561.64992,B2_14,0.017
,,,561.65064,B5_41,0.013
,,,561.65104,B1_23,0.047
,,,561.65312,B5_24,0.018
,,,561.654,B5_41,0.011
,,,561.65416,B5_22,0.018
,,,561.65576,B5_24,0.014
,,,561.65728,B5_21,0.013
,,,561.65824,B5_33,0.018
,,,561.65864,B5_31,0.013
,,,561.65864,B5_44,0.018
,,,561.65912,B5_41,0.011
,,,561.65952,B5_43,0.032
,,,561.66192,B5_14,0.023
,,,561.66408,B2_42,0.021
,,,561.66496,B5_13,0.02
,,,561.6652,B5_23,0.02
,,,561.66664,B5_11,0.021
,,,561.66688,B5_24,0.022
,,,561.66744,B2_14,0.018
,,,561.66928,B5_44,0.016
,,,561.67104,B2_14,0.018
,,,561.6724,B5_11,0.016
,,,561.6752,B2_43,0.02
,,,561.67792,B2_14,0.015
,,,561.68144,B5_13,0.014
,,,561.68256,B5_33,0.061
,,,561.68312,B5_34,0.015
,,,561.68312,B5_42,0.021
,,,561.68384,B5_14,0.03
,,,561.68424,B2_31,0.023
,,,561.68456,B5_21,0.012
,,,561.68488,B5_43,0.013
,,,561.6852,B2_43,0.021
,,,561.6856,B5_44,0.021
,,,561.68584,B5_11,0.024
,,,561.6864,D1_13,0.013
,,,561.68752,B2_33,0.019
,,,561.6888,B5_41,0.011
,,,561.68936,B5_44,0.014
,,,561.68984,B5_13,0.014
,,,561.69,B5_14,0.013
,,,561.69128,B5_21,0.014
,,,561.69272,B2_13,0.016
,,,561.69288,B5_14,0.01
,,,561.69288,B5_33,0.065
,,,561.69328,B2_43,0.023
,,,561.69432,B5_24,0.016
,,,561.69568,B5_23,0.023
,,,561.69616,B5_43,0.018
,,,561.69664,B2_42,0.024
,,,561.69672,B2_32,0.019
,,,561.69688,B5_11,0.028
,,,561.6996,B5_23,0.023
,,,561.70248,B5_24,0.016
,,,561.70392,D1_34,0.025
,,,561.70656,B5_21,0.016
,,,561.70744,B5_11,0.021
,,,561.7084,B3_13,0.017
,,,561.70864,B5_24,0.02
,,,561.71264,D3_11,0.029
,,,561.71296,D3_21,0.047
,,,561.7168,B2_11,0.021
,,,561.718,B5_33,0.018
,,,561.71904,B5_14,0.014
,,,561.71976,B5_24,0.024
,,,561.71976,D3_32,0.017
,,,561.72536,B2_43,0.018
,,,561.73,B6_22,0.026
,,,561.73016,B5_11,0.016
,,,561.73016,B5_21,0.019
,,,561.73256,B5_42,0.021
,,,561.73424,B5_24,0.022
,,,561.7376,B5_14,0.021
,,,561.73784,B5_24,0.029
,,,561.73832,B2_24,0.017
,,,561.7384,B5_13,0.019
,,,561.74016,B5_24,0.014
,,,561.7412,B5_44,0.014
,,,561.74192,B5_21,0.011
,,,561.7432,B5_33,0.058
,,,561.74448,B5_44,0.015
,,,561.74632,B5_11,0.02
,,,561.74656,B5_21,0.019
,,,561.74672,D3_11,0.024
,,,561.74712,D3_21,0.048
,,,561.74856,D6_22,0.018
,,,561.74912,B5_22,0.027
,,,561.75344,B5_14,0.018
,,,561.75632,B5_11,0.021
,,,561.75632,B5_13,0.017
,,,561.75736,B2_14,0.021
,,,561.75888,D3_41,0.011
,,,561.75904,D3_31,0.013
,,,561.75928,D3_42,0.012
,,,561.75936,B5_41,0.012
,,,561.76216,B2_34,0.021
,,,561.76264,B5_32,0.013
,,,561.77232,B2_31,0.014
,,,561.77912,D6_43,0.022
,,,561.7816,B4_43,0.018
,,,561.78496,B5_11,0.016
,,,561.7904,B5_24,0.017
,,,561.79224,D1_34,0.022
,,,561.79328,B6_22,0.023
,,,561.80112,B5_14,0.022
,,,561.80232,B5_23,0.02
,,,561.80616,B5_21,0.013
,,,561.80656,B5_33,0.059
,,,561.80824,B5_11,0.021
,,,561.80848,B5_43,0.018
,,,561.81184,B5_21,0.014
,,,561.8132,B5_22,0.025
,,,561.81352,B5_11,0.016
,,,561.8152,B5_14,0.016
,,,561.81728,B5_32,0.014
,,,561.82176,D4_14,0.013
,,,561.82328,D4_12,0.032
,,,561.82384,D4_11,0.017
,,,561.82544,B5_23,0.023
,,,561.82616,B5_11,0.022
,,,561.82752,D4_22,0.012
,,,561.82912,B5_33,0.061
,,,561.82992,D1_34,0.024
,,,561.83992,B5_11,0.027
,,,561.84,B5_34,0.013
,,,561.84088,B5_43,0.019
,,,561.84344,B3_11,0.018
,,,561.85144,B5_33,0.07
,,,561.85176,B5_44,0.022
,,,561.85376,B5_21,0.012
,,,561.8548,B5_11,0.013
,,,561.85656,D1_34,0.019
,,,561.86336,D3_14,0.012
,,,561.86624,D3_42,0.017
,,,561.86952,B5_14,0.02
,,,561.87296,D1_34,0.022
,,,561.87408,B3_21,0.013
,,,561.87408,B5_33,0.02
,,,561.87424,D5_13,0.027
,,,561.87904,B5_14,0.037
,,,561.8808,B5_33,0.047
,,,561.88104,B5_43,0.036
,,,561.88296,B1_23,0.021
,,,561.88384,B1_22,0.016
,,,561.88528,B5_44,0.015
,,,561.88592,B6_22,0.014
,,,561.89056,B5_11,0.015
,,,561.89136,B5_22,0.013
,,,561.89456,B5_11,0.015
,,,561.8968,D1_34,0.02
,,,561.90368,D6_23,0.016
,,,561.90584,B5_13,0.014
,,,561.906,B5_14,0.016
,,,561.90896,B5_11,0.02
,,,561.90904,D3_23,0.012
,,,561.90976,D3_14,0.023
,,,561.91032,B5_33,0.061
,,,561.91392,D3_34,0.01
,,,561.91648,D1_34,0.019
,,,561.92432,B5_34,0.015
,,,561.9248,B5_13,0.012
,,,561.92496,B5_43,0.02
,,,561.926,B5_44,0.015
,,,561.92744,B5_32,0.015
,,,561.93192,D1_34,0.018
,,,561.93256,B5_24,0.022
,,,561.93264,B5_23,0.022
,,,561.93736,B3_22,0.029
,,,561.93768,B1_13,0.02
,,,561.93888,B5_23,0.023
,,,561.94024,D5_44,0.016
,,,561.94048,B5_13,0.016
,,,561.94048,D3_31,0.027
,,,561.94088,D3_21,0.023
,,,561.94128,B5_24,0.016
,,,561.94272,B1_44,0.015
,,,561.94616,B1_44,0.023
,,,561.9476,B1_41,0.011
,,,561.94832,B1_31,0.021
,,,561.95208,B1_13,0.019
,,,561.95272,B1_12,0.016
,,,561.95624,B5_22,0.013
,,,561.95824,B5_33,0.016
,,,561.95872,B5_44,0.016
,,,561.95912,B5_11,0.021
,,,561.962,B3_34,0.016
,,,561.96264,B5_44,0.018
,,,561.96552,B5_23,0.018
,,,561.96608,B5_21,0.016
,,,561.96624,B5_14,0.022
,,,561.96688,B5_11,0.018
,,,561.97096,B2_43,0.02
,,,561.97688,D5_12,0.019
,,,561.9772,D5_13,0.018
,,,561.9776,D5_24,0.028
,,,561.98416,B1_42,0.016
,,,561.98704,B5_14,0.017
,,,561.9908,B5_13,0.016
,,,561.99208,B5_23,0.018
,,,561.99352,B5_14,0.032
,,,561.99728,B5_21,0.014
,,,561.99848,B5_14,0.016
,,,562.00768,D5_32,0.013
,,,562.01224,B5_44,0.016
,,,562.01664,B5_24,0.018
,,,562.01984,B6_32,0.017
,,,562.022,B5_44,0.018
,,,562.02512,B5_11,0.036
,,,562.02704,B5_14,0.017
,,,562.0328,B2_11,0.021
,,,562.03384,B5_33,0.032
,,,562.0364,B5_33,0.013
,,,562.03784,B5_44,0.011
,,,562.03784,D5_13,0.016
,,,562.03792,B5_14,0.016
,,,562.042,B5_23,0.022
,,,562.04432,D3_41,0.014
,,,562.04616,B5_43,0.021
,,,562.0488,B5_14,0.015
,,,562.05528,B5_13,0.015
,,,562.05872,B5_13,0.02
,,,562.05928,B5_24,0.022
,,,562.05944,B5_21,0.023
,,,562.05968,B5_31,0.015
,,,562.0644,B5_21,0.014
,,,562.07104,B5_42,0.022
,,,562.0712,B5_43,0.031
,,,562.07216,B5_11,0.021
,,,562.0732,B5_13,0.014
,,,562.074,B5_31,0.019
,,,562.07432,B5_32,0.018
,,,562.0744,B5_44,0.023
,,,562.07456,B5_41,0.015
,,,562.0784,B5_32,0.017
,,,562.07856,B5_33,0.021
,,,562.07888,B5_14,0.018
,,,562.08072,B5_21,0.014
,,,562.08192,B5_42,0.011
,,,562.08312,B5_31,0.016
,,,562.08368,B5_21,0.025
,,,562.08528,B5_14,0.014
,,,562.08544,B5_33,0.021
,,,562.08608,B5_22,0.016
,,,562.09,B5_24,0.02
,,,562.09008,B5_21,0.013
,,,562.09072,B5_43,0.042
,,,562.09928,B1_23,0.057
,,,562.10776,B5_44,0.019
,,,562.10896,B2_32,0.018
,,,562.10896,B3_22,0.028
,,,562.10896,B5_14,0.017
,,,562.10912,B5_41,0.013
,,,562.10928,B2_31,0.034
,,,562.10984,B2_24,0.017
,,,562.114,B5_11,0.026
,,,562.11416,B5_14,0.019
,,,562.11448,B5_13,0.014
,,,562.11528,B5_32,0.013
,,,562.11792,B5_11,0.014
,,,562.12176,B5_32,0.016
,,,562.1264,B5_42,0.021
,,,562.12792,B5_11,0.014
,,,562.13384,B5_41,0.013
,,,562.13944,B5_31,0.015
,,,562.14064,B5_21,0.015
,,,562.14072,B5_44,0.021
,,,562.1416,B3_22,0.032
,,,562.14264,B5_42,0.016
,,,562.14368,B5_13,0.018
,,,562.14656,B5_44,0.02
,,,562.152,B1_31,0.017
,,,562.15448,B5_11,0.014
,,,562.16056,B1_32,0.011
,,,562.16656,B5_24,0.018
,,,562.18192,D3_33,0.012
,,,562.18256,D3_41,0.012
,,,562.18392,D3_42,0.012
,,,562.1848,D3_21,0.035
,,,562.19192,B5_14,0.017
,,,562.19592,B5_33,0.057
,,,562.196,B5_23,0.02
,,,562.1972,B5_14,0.034
,,,562.2028,B5_34,0.02
,,,562.20504,D5_12,0.02
,,,562.20536,D5_13,0.014
,,,562.20552,B2_43,0.019
,,,562.20576,D5_24,0.031
,,,562.2084,B4_43,0.019
,,,562.22568,B5_24,0.015
,,,562.2352,B2_31,0.026
,,,562.24344,B5_33,0.016
,,,562.25032,B5_24,0.024
,,,562.25168,B3_11,0.019
,,,562.25768,B5_44,0.02
,,,562.26672,B5_14,0.016
,,,562.28096,B5_11,0.019
,,,562.2812,D3_13,0.013
,,,562.28216,D3_44,0.016
,,,562.28696,B2_31,0.023
,,,562.28792,B5_11,0.023
,,,562.29864,B5_14,0.031
,,,562.2996,B3_43,0.013
,,,562.29992,B5_33,0.05
,,,562.30024,B5_43,0.035
,,,562.3152,B3_22,0.032
,,,562.31616,B3_11,0.021
,,,562.31648,B3_12,0.017
,,,562.32192,B5_43,0.016
,,,562.32408,B3_44,0.017
,,,562.33168,B3_22,0.016
,,,562.33184,B3_11,0.022
,,,562.33488,B3_31,0.022
,,,562.34296,B6_43,0.015
,,,562.3436,B5_11,0.021
,,,562.34496,B3_12,0.025
,,,562.34512,B3_22,0.028
,,,562.34784,B5_21,0.019
,,,562.34936,B3_34,0.018
,,,562.34984,B3_44,0.018
,,,562.34992,B3_12,0.012
,,,562.35008,B3_22,0.014
,,,562.35224,B3_41,0.009
,,,562.35248,B3_24,0.015
,,,562.35288,B3_34,0.012
,,,562.35368,B3_13,0.015
,,,562.35416,B3_12,0.017
,,,562.35496,B3_11,0.025
,,,562.3552,B3_22,0.016
,,,562.35632,B1_23,0.013
,,,562.35664,B3_41,0.01
,,,562.3576,B3_31,0.018
,,,562.3632,B3_21,0.01
,,,562.36336,B3_12,0.013
,,,562.366,B3_11,0.02
,,,562.366,B3_13,0.023
,,,562.36648,B3_22,0.015
,,,562.36704,B3_21,0.019
,,,562.36936,B3_12,0.025
,,,562.36944,B3_13,0.022
,,,562.36968,B3_22,0.025
,,,562.36992,B3_11,0.035
,,,562.37024,B3_21,0.016
,,,562.37072,B3_31,0.023
,,,562.37512,B5_22,0.013
,,,562.37744,B5_33,0.019
,,,562.3776,B5_34,0.016
,,,562.38072,B3_22,0.031
,,,562.38096,B3_11,0.02
,,,562.38416,B3_22,0.014
,,,562.38888,B3_31,0.019
,,,562.39104,B5_11,0.026
,,,562.39248,B1_44,0.015
,,,562.39336,B3_22,0.012
,,,562.3976,B3_12,0.025
,,,562.398,B3_22,0.026
,,,562.40144,B6_32,0.018
,,,562.4016,B6_22,0.021
,,,562.41248,B3_12,0.021
,,,562.41304,B3_24,0.013
,,,562.41328,B3_23,0.012
,,,562.41344,B3_22,0.014
,,,562.4144,B3_11,0.023
,,,562.41784,B5_42,0.014
,,,562.41928,B3_31,0.021
,,,562.42072,B3_34,0.018
,,,562.42272,B1_23,0.02
,,,562.42352,B1_22,0.019
,,,562.42472,B3_13,0.016
,,,562.42536,B3_22,0.035
,,,562.42808,B3_34,0.016
,,,562.4336,B3_13,0.02
,,,562.43456,B3_22,0.012
,,,562.43544,B3_14,0.014
,,,562.43736,B3_11,0.027
,,,562.43872,B3_44,0.016
,,,562.4412,B3_34,0.014
,,,562.44168,B3_22,0.023
,,,562.442,B3_11,0.024
,,,562.44216,B3_31,0.019
,,,562.44256,B3_21,0.015
,,,562.44304,B5_43,0.017
,,,562.4444,B3_44,0.016
,,,562.44528,B3_22,0.028
,,,562.4476,B3_11,0.019
,,,562.45168,B3_21,0.019
,,,562.45224,B3_11,0.019
,,,562.4572,B3_21,0.025
,,,562.4576,B3_11,0.016
,,,562.45824,B3_13,0.016
,,,562.45848,B3_23,0.014
,,,562.45864,B3_22,0.02
,,,562.46,B5_33,0.015
,,,562.4608,B3_43,0.017
,,,562.46136,B3_12,0.014
,,,562.46312,B3_34,0.017
,,,562.464,B3_44,0.016
,,,562.46544,B3_21,0.019
,,,562.46576,B3_11,0.018
,,,562.46648,B3_31,0.02
,,,562.46904,B3_34,0.026
,,,562.46912,B3_44,0.019
,,,562.46944,B3_43,0.017
,,,562.4696,B5_44,0.022
,,,562.4704,B5_11,0.014
,,,562.47056,B3_31,0.021
,,,562.4732,B3_22,0.01
,,,562.4744,B3_12,0.015
,,,562.47728,B3_44,0.018
,,,562.47928,B3_31,0.015
,,,562.47936,B3_21,0.02
,,,562.47984,B5_42,0.018
,,,562.4812,B3_22,0.015
,,,562.48144,B3_34,0.015
,,,562.48712,B3_34,0.013
,,,562.48776,B1_23,0.053
,,,562.48784,B3_11,0.015
,,,562.48792,B3_22,0.013
,,,562.48816,B3_23,0.03
,,,562.48952,B1_44,0.014
,,,562.48952,B5_13,0.019
,,,562.4912,B5_11,0.02
,,,562.4912,B5_24,0.02
,,,562.4928,B3_12,0.032
,,,562.49296,D3_41,0.009
,,,562.4932,B3_11,0.03
,,,562.49336,B3_22,0.028
,,,562.49544,B3_31,0.015
,,,562.49608,B3_14,0.015
,,,562.49608,B3_22,0.015
,,,562.498,B3_43,0.015
,,,562.49872,B3_34,0.014
,,,562.5,B3_21,0.028
,,,562.50184,B3_11,0.033
,,,562.50184,B5_33,0.056
,,,562.50392,B3_24,0.023
,,,562.50416,B3_34,0.024
,,,562.50464,B3_44,0.018
,,,562.50488,B5_33,0.046
,,,562.50496,B3_43,0.014
,,,562.50568,B3_22,0.02
,,,562.506,B3_14,0.014
,,,562.50768,B3_43,0.017
,,,562.50888,B3_21,0.024
,,,562.50936,B3_11,0.033
,,,562.50936,B3_12,0.013
,,,562.5096,B3_22,0.029
,,,562.51008,B3_31,0.029
,,,562.5104,B3_13,0.017
,,,562.51128,B3_44,0.024
,,,562.51136,B3_34,0.022
,,,562.51328,B3_22,0.02
,,,562.51592,B3_12,0.016
,,,562.51624,B3_11,0.021
,,,562.518,B3_34,0.026
,,,562.51824,B3_22,0.01
,,,562.52152,B3_21,0.028
,,,562.52168,B3_34,0.018
,,,562.52352,B3_24,0.023
,,,562.52456,B3_11,0.022
,,,562.5264,B3_21,0.017
,,,562.52696,B3_41,0.018
,,,562.52704,B3_31,0.019
,,,562.52792,B3_12,0.03
,,,562.52856,B3_22,0.025
,,,562.52952,B3_21,0.018
,,,562.52984,B3_43,0.017
,,,562.53056,B3_11,0.016
,,,562.53104,B3_41,0.013
,,,562.53128,B3_13,0.02
,,,562.53136,B3_22,0.015
,,,562.53184,B3_23,0.016
,,,562.53288,B3_12,0.017
,,,562.53288,B3_34,0.029
,,,562.5348,B3_22,0.015
,,,562.53616,B3_11,0.018
,,,562.53736,B3_34,0.018
,,,562.54016,B3_34,0.024
,,,562.54048,B3_14,0.021
,,,562.54072,B3_44,0.026
,,,562.54112,B3_31,0.013
,,,562.54136,B3_21,0.018
,,,562.54208,D5_12,0.042
,,,562.54328,D5_41,0.014
,,,562.54536,B1_42,0.014
,,,562.54808,B3_12,0.015
,,,562.5484,B5_11,0.019
,,,562.54952,B3_44,0.017
,,,562.55208,B3_23,0.017
,,,562.55272,B3_24,0.014
,,,562.55568,B3_24,0.017
,,,562.55896,B3_12,0.036
,,,562.55912,B3_11,0.041
,,,562.55944,B3_22,0.023
,,,562.56016,B3_31,0.024
,,,562.56032,B3_41,0.011
,,,562.56048,B3_42,0.014
,,,562.56064,B3_44,0.019
,,,562.56224,B3_11,0.026
,,,562.56264,B3_41,0.014
,,,562.56536,D5_12,0.017
,,,562.566,B3_22,0.027
,,,562.56608,D5_44,0.021
,,,562.56616,B5_44,0.017
,,,562.56736,B3_42,0.014
,,,562.56848,B3_44,0.023
,,,562.56944,B3_24,0.019
,,,562.56976,B3_11,0.026
,,,562.56984,B3_13,0.024
,,,562.57088,B3_34,0.025
,,,562.5712,B3_22,0.02
,,,562.5732,B5_11,0.014
,,,562.5748,B3_21,0.021
,,,562.57536,B3_31,0.018
,,,562.58144,B3_22,0.015
,,,562.58152,B3_43,0.014
,,,562.58248,B3_12,0.013
,,,562.58992,B3_21,0.017
,,,562.59312,B3_34,0.016
,,,562.6008,D1_31,0.034
,,,562.60208,B3_13,0.017
,,,562.6028,B3_12,0.016
,,,562.6028,B3_22,0.024
,,,562.60344,B3_34,0.02
,,,562.60696,B3_34,0.019
,,,562.61368,B3_13,0.016
,,,562.61384,B3_21,0.022
,,,562.6156,B3_12,0.023
,,,562.61584,B3_22,0.011
,,,562.61624,B3_23,0.013
,,,562.61696,B3_43,0.015
,,,562.61792,B3_34,0.015
,,,562.62336,B3_22,0.013
,,,562.62408,B3_12,0.016
,,,562.62824,B3_14,0.018
,,,562.6304,B3_24,0.017
,,,562.632,B3_34,0.017
,,,562.63328,B5_22,0.015
,,,562.63352,D3_14,0.022
,,,562.63536,B5_43,0.016
,,,562.63568,B3_34,0.022
,,,562.63864,B3_21,0.015
,,,562.63992,B3_34,0.019
,,,562.64272,B5_11,0.023
,,,562.64368,B3_13,0.022
,,,562.64632,B3_21,0.015
,,,562.64928,D3_42,0.015
,,,562.65552,B3_12,0.017
,,,562.6572,B3_11,0.017
,,,562.65968,B1_31,0.016
,,,562.66024,B3_41,0.012
,,,562.66312,B3_44,0.016
,,,562.67144,B3_43,0.013
,,,562.67264,B3_12,0.013
,,,562.68224,B3_24,0.017
,,,562.68352,B3_12,0.018
,,,562.6836,B3_11,0.022
,,,562.68424,B3_22,0.017
,,,562.68632,B3_34,0.018
,,,562.68856,B3_31,0.023
,,,562.6888,B3_11,0.034
,,,562.68904,B3_12,0.014
,,,562.68928,B3_44,0.021
,,,562.69416,B3_44,0.023
,,,562.6972,B3_12,0.021
,,,562.69856,B3_13,0.018
,,,562.69896,B5_11,0.016
,,,562.69984,B3_31,0.019
,,,562.70016,B3_22,0.028
,,,562.70272,B3_41,0.01
,,,562.70408,B3_23,0.02
