Investigator,Ghislaine,,Time (s),Electrode,Amplitude(mV)
,,,6.87816,B2_43,0.019
,,,6.88272,B2_31,0.016
,,,6.88312,B2_33,0.017
,,,6.8836,B2_43,0.019
,,,6.89192,B2_22,0.014
,,,6.89432,B4_33,0.013
,,,6.89536,B2_12,0.02
,,,6.8956,B2_11,0.02
,,,6.90424,B2_11,0.012
,,,6.91,D5_31,0.029
,,,6.91976,B2_43,0.02
,,,6.9216,B2_34,0.018
,,,6.94456,B2_43,0.016
,,,6.94616,B2_42,0.015
,,,6.94928,B2_11,0.02
,,,6.95296,B2_12,0.019
,,,6.95944,B2_31,0.02
,,,6.97792,B1_42,0.022
,,,6.98392,B2_11,0.016
,,,6.98736,B2_24,0.015
,,,7.01032,B2_13,0.013
,,,7.0372,B2_31,0.03
,,,7.038,B2_42,0.016
,,,7.05008,B2_14,0.013
,,,7.05176,B2_21,0.019
,,,7.052,B2_22,0.015
,,,7.05216,B2_31,0.03
,,,7.05416,B2_33,0.018
,,,7.06616,B2_43,0.015
,,,7.0668,B2_34,0.015
,,,7.06976,B2_31,0.019
,,,7.07032,B2_42,0.021
,,,7.07064,B2_33,0.016
,,,7.07656,B2_24,0.015
,,,7.106,B2_42,0.022
,,,7.11512,B2_43,0.022
,,,7.12416,B2_31,0.021
,,,7.15048,B2_31,0.024
,,,7.15416,D5_44,0.016
,,,7.15944,B5_44,0.015
,,,7.17264,B2_23,0.016
,,,7.19312,D4_33,0.014
,,,7.19352,D4_23,0.016
,,,7.20368,B1_24,0.015
,,,7.20432,B1_23,0.022
,,,7.20504,B1_22,0.02
,,,7.2068,B2_11,0.023
,,,7.21416,D5_31,0.013
,,,7.23464,B3_14,0.011
,,,7.2396,B2_11,0.019
,,,7.2696,B2_43,0.017
,,,7.2872,B2_31,0.021
,,,7.28848,B2_42,0.019
,,,7.29112,B2_33,0.019
,,,7.31112,B2_33,0.018
,,,7.316,B2_22,0.016
,,,7.316,B2_31,0.027
,,,7.31736,B2_43,0.016
,,,7.35128,B2_43,0.019
,,,7.36208,B1_42,0.022
,,,7.45248,B1_32,0.016
,,,7.5032,D3_42,0.012
,,,7.51416,B6_43,0.027
,,,7.55344,B2_31,0.025
,,,7.58072,B2_22,0.015
,,,7.58104,B2_31,0.025
,,,7.58936,D3_14,0.017
,,,7.5964,B2_33,0.015
,,,7.59832,D5_12,0.021
,,,7.65248,B2_31,0.023
,,,7.69224,B4_44,0.018
,,,7.74688,B1_42,0.022
,,,7.76744,B2_31,0.019
,,,7.78912,B1_24,0.014
,,,7.78976,B1_23,0.018
,,,7.79056,B1_22,0.019
,,,7.86024,B2_31,0.031
,,,7.88624,D5_12,0.031
,,,7.88816,B5_21,0.014
,,,7.89192,D5_24,0.031
,,,7.89312,D5_44,0.032
,,,7.89408,B5_22,0.013
,,,7.89592,D5_23,0.018
,,,7.89592,D5_33,0.015
,,,7.89808,B5_31,0.014
,,,7.89816,D5_23,0.044
,,,7.89856,D5_13,0.05
,,,7.89888,D5_14,0.016
,,,7.89896,D5_24,0.036
,,,7.90048,D5_44,0.025
,,,7.90152,D5_23,0.035
,,,7.90216,D5_33,0.014
,,,7.90424,D5_23,0.046
,,,7.90544,D5_31,0.063
,,,7.9064,D5_12,0.017
,,,7.90768,D5_14,0.024
,,,7.90776,D5_24,0.03
,,,7.90888,D5_44,0.029
,,,7.91024,D5_11,0.061
,,,7.91072,B5_24,0.019
,,,7.91088,D5_21,0.021
,,,7.91096,D5_13,0.032
,,,7.91136,D5_31,0.02
,,,7.91248,D5_32,0.018
,,,7.91264,B5_22,0.012
,,,7.9132,D5_21,0.025
,,,7.91344,D5_11,0.035
,,,7.91352,D5_34,0.011
,,,7.9144,D5_13,0.034
,,,7.91456,D5_12,0.016
,,,7.9152,D5_32,0.014
,,,7.91536,D5_23,0.042
,,,7.91664,D5_24,0.037
,,,7.91808,D5_44,0.025
,,,7.91848,D5_14,0.018
,,,7.92376,B2_43,0.016
,,,7.9244,B5_14,0.013
,,,7.92456,D5_24,0.036
,,,7.9248,D5_23,0.046
,,,7.92488,D5_14,0.018
,,,7.92568,D5_32,0.022
,,,7.92576,D5_31,0.024
,,,7.92664,D5_11,0.033
,,,7.92672,D5_21,0.018
,,,7.9268,D5_44,0.027
,,,7.9292,D5_14,0.018
,,,7.9348,D5_31,0.013
,,,7.9388,B4_13,0.031
,,,7.94592,D5_31,0.029
,,,7.95888,D5_24,0.013
,,,7.96576,B5_13,0.017
,,,7.97648,B4_44,0.017
,,,7.97976,D5_31,0.032
,,,8.04128,B1_33,0.025
,,,8.0424,B1_12,0.015
,,,8.04496,B3_34,0.013
,,,8.0804,B1_12,0.016
,,,8.0964,B3_34,0.012
,,,8.09792,B1_24,0.013
,,,8.12488,D3_42,0.013
,,,8.14624,D1_13,0.015
,,,8.22728,B1_42,0.019
,,,8.23296,B1_22,0.017
,,,8.23432,B1_44,0.02
,,,8.24464,B5_14,0.014
,,,8.2808,B4_13,0.027
,,,8.3268,B2_11,0.022
,,,8.41512,B2_31,0.018
,,,8.41624,B2_42,0.017
,,,8.42296,B4_13,0.026
,,,8.43056,B2_31,0.021
,,,8.43072,B2_24,0.018
,,,8.43688,B5_21,0.016
,,,8.43784,B5_11,0.017
,,,8.50496,D6_24,0.029
,,,8.54096,B1_24,0.013
,,,8.5416,B1_23,0.02
,,,8.5424,B1_22,0.018
,,,8.55904,B4_13,0.019
,,,8.61352,B1_42,0.022
,,,8.63656,B6_31,0.015
,,,8.66128,B4_13,0.02
,,,8.7412,B2_43,0.02
,,,8.74768,B2_33,0.019
,,,8.74776,B2_22,0.021
,,,8.75584,B2_31,0.024
,,,8.75672,B4_42,0.015
,,,8.77744,D2_42,0.023
,,,8.81528,D5_23,0.012
,,,8.88888,B1_43,0.015
,,,8.8892,B1_33,0.018
,,,8.89024,B1_12,0.015
,,,8.90552,D6_24,0.026
,,,8.96544,D4_23,0.014
,,,8.97184,D3_31,0.023
,,,8.97256,D3_21,0.012
,,,9.0444,D5_44,0.019
,,,9.05976,B1_42,0.019
,,,9.0744,B3_14,0.011
,,,9.0816,D6_24,0.024
,,,9.20584,B5_24,0.018
,,,9.2296,D4_34,0.024
,,,9.24464,D5_33,0.008
,,,9.25208,B4_43,0.03
,,,9.26136,D4_14,0.015
,,,9.26368,D3_34,0.017
,,,9.26696,B5_23,0.022
,,,9.29864,B1_22,0.018
,,,9.3,B1_44,0.013
,,,9.30048,B1_34,0.014
,,,9.3008,B1_24,0.014
,,,9.30976,D6_24,0.022
,,,9.42064,B1_43,0.014
,,,9.42088,B1_33,0.023
,,,9.52528,D6_24,0.027
,,,9.53072,B4_44,0.019
,,,9.57792,D5_44,0.016
,,,9.5956,B5_44,0.017
,,,9.6216,B1_32,0.013
,,,9.63224,B4_44,0.018
,,,9.64592,B5_44,0.014
,,,9.67984,B1_42,0.023
,,,9.70208,B1_24,0.013
,,,9.70264,B1_23,0.016
,,,9.70344,B1_22,0.018
,,,9.71912,D5_22,0.034
,,,9.72424,D5_44,0.023
,,,9.75272,D3_34,0.03
,,,9.75304,D3_44,0.036
,,,9.75384,D5_42,0.02
,,,9.78424,D6_24,0.026
,,,9.8016,B1_34,0.046
,,,9.8048,D3_34,0.018
,,,9.80696,B4_42,0.017
,,,9.83144,D4_13,0.06
,,,9.83224,D4_23,0.02
,,,9.83248,D4_32,0.037
,,,9.8332,D4_42,0.018
,,,9.83344,D4_33,0.017
,,,9.8344,D4_43,0.014
,,,9.83512,D4_32,0.016
,,,9.90448,B2_22,0.018
,,,9.90472,B2_31,0.023
,,,9.94864,B4_22,0.032
,,,9.94864,B4_43,0.024
,,,9.94984,B4_34,0.015
,,,9.95808,B4_22,0.022
