Investigator,Ghislaine,Time (s),Electrode,Amplitude(mV)
,,6.04584,B5_44,0.015
,,6.05408,B4_24,0.015
,,6.13792,B5_11,0.016
,,6.14016,B6_43,0.015
,,6.22288,B1_24,0.03
,,6.24312,B5_24,0.015
,,6.24424,B5_43,0.014
,,6.25464,B2_21,0.029
,,6.2588,B2_43,0.039
,,6.2592,B2_32,0.028
,,6.25936,B5_24,0.019
,,6.25976,B2_22,0.013
,,6.25992,B2_11,0.029
,,6.26136,B2_34,0.035
,,6.27384,B2_11,0.021
,,6.27456,B2_31,0.028
,,6.28328,B2_42,0.017
,,6.30968,B2_34,0.025
,,6.3372,B3_31,0.016
,,6.33784,B5_11,0.026
,,6.42504,B3_23,0.017
,,6.4272,B4_22,0.013
,,6.42752,B4_43,0.034
,,6.42856,B4_32,0.015
,,6.44136,B6_43,0.022
,,6.4484,B2_11,0.014
,,6.45096,B2_31,0.016
,,6.45152,B2_32,0.016
,,6.48824,B4_24,0.015
,,6.51944,B2_44,0.046
,,6.5284,B5_24,0.018
,,6.64952,B2_43,0.024
,,6.68976,B5_11,0.019
,,6.69848,B2_42,0.014
,,6.72904,B5_11,0.013
,,6.73872,B2_42,0.016
,,6.76008,B5_11,0.023
,,6.76592,B4_24,0.013
,,6.76712,B4_42,0.018
,,6.76968,B4_42,0.027
,,6.79424,B3_31,0.069
,,6.79432,B3_44,0.032
,,6.79472,B3_22,0.013
,,6.7976,B3_32,0.018
,,6.79792,B3_31,0.023
,,6.82672,B4_44,0.014
,,6.84288,B5_11,0.024
,,6.86192,B2_42,0.053
,,6.87704,B2_42,0.022
,,6.88016,B1_24,0.028
,,6.8868,B5_23,0.024
,,6.89992,B5_11,0.02
,,6.91528,B5_23,0.024
,,6.99656,B5_11,0.02
,,7.0236,B5_11,0.021
,,7.02792,B5_24,0.017
,,7.03392,B1_43,0.023
,,7.088,B2_42,0.016
,,7.09864,B2_13,0.012
,,7.13552,B2_11,0.022
,,7.13776,B2_32,0.017
,,7.20656,B2_44,0.024
,,7.24784,B2_43,0.029
,,7.24808,B2_32,0.033
,,7.2488,B2_21,0.017
,,7.27848,B5_14,0.016
,,7.28328,B6_43,0.015
,,7.34008,B2_21,0.02
,,7.41488,B4_44,0.019
,,7.42392,B4_43,0.02
,,7.61936,B5_24,0.018
,,7.63152,B4_33,0.016
,,7.63224,B5_44,0.012
,,7.65336,B5_11,0.018
,,7.66584,B6_43,0.029
,,7.6672,B2_43,0.03
,,7.6676,B2_32,0.022
,,7.66792,B2_22,0.013
,,7.66808,B2_11,0.03
,,7.67048,B2_34,0.035
,,7.67744,B6_43,0.016
,,7.70104,B4_43,0.023
,,7.70704,B1_24,0.032
,,7.72728,B4_42,0.017
,,7.75688,B2_42,0.015
,,7.802,B2_42,0.021
,,7.82056,B6_32,0.016
,,7.83128,B2_31,0.017
,,7.83184,B2_32,0.017
,,7.852,B5_23,0.026
,,7.89632,B5_13,0.014
,,7.8964,B5_23,0.019
,,7.89696,B5_21,0.016
,,7.89776,B5_22,0.013
,,7.90904,B4_12,0.023
,,7.9204,B4_43,0.022
,,7.93944,B4_42,0.017
,,7.94408,B4_42,0.027
,,7.97496,B4_44,0.017
,,7.98032,B2_12,0.015
,,8.08008,B4_44,0.014
,,8.08568,B2_34,0.022
,,8.10352,B5_42,0.01
,,8.1652,B4_33,0.016
,,8.18896,B2_14,0.01
,,8.22344,B2_44,0.043
,,8.2732,B5_24,0.017
,,8.27936,B2_12,0.026
,,8.28456,B2_22,0.014
,,8.28512,B2_12,0.011
,,8.28624,B4_43,0.017
,,8.2964,B1_23,0.021
,,8.30464,B2_31,0.014
,,8.3368,B4_13,0.014
,,8.34536,B2_44,0.022
,,8.36464,B2_42,0.048
,,8.38352,B6_43,0.017
,,8.39376,B2_43,0.025
,,8.394,B2_32,0.032
,,8.45336,B2_31,0.012
,,8.51752,B2_42,0.014
,,8.528,B2_13,0.014
,,8.532,B1_24,0.036
,,8.5532,B2_11,0.017
,,8.55576,B2_31,0.019
,,8.55624,B2_32,0.017
,,8.6008,B5_44,0.016
,,8.66896,B6_31,0.017
,,8.67664,B5_11,0.025
,,8.72104,B2_21,0.017
,,8.72424,B4_43,0.03
,,8.73,B2_43,0.021
,,8.73096,B2_44,0.02
,,8.73112,B2_42,0.027
,,8.73424,B2_42,0.022
,,8.73448,B2_21,0.041
,,8.73536,B2_43,0.023
,,8.73744,B2_31,0.019
,,8.7392,B2_21,0.02
,,8.74,B2_12,0.014
,,8.74144,B2_42,0.037
,,8.74304,B2_21,0.026
,,8.74336,B2_24,0.015
,,8.74416,B5_11,0.02
,,8.7524,B5_13,0.014
,,8.75312,B5_21,0.017
,,8.754,B5_11,0.017
,,8.75888,B2_21,0.025
,,8.77624,B2_31,0.013
,,8.78208,B2_44,0.021
,,8.78256,B2_43,0.041
,,8.78304,B2_32,0.026
,,8.78384,B4_44,0.03
,,8.79112,B4_12,0.038
,,8.79784,B2_44,0.018
,,8.798,B4_22,0.036
,,8.80368,B2_22,0.015
,,8.80696,B2_43,0.021
,,8.80744,B4_43,0.03
,,8.81552,B5_24,0.019
,,8.81624,B2_21,0.027
,,8.81688,B2_43,0.025
,,8.81752,B2_33,0.018
,,8.8176,B2_44,0.053
,,8.81768,B2_32,0.026
,,8.81776,B2_34,0.013
,,8.81792,B2_31,0.02
,,8.81848,B2_21,0.04
,,8.81928,B2_42,0.017
,,8.82248,B2_21,0.035
,,8.8252,B2_42,0.035
,,8.83064,B4_24,0.02
,,8.84248,B5_11,0.02
,,8.8632,B2_34,0.013
,,8.90816,B4_34,0.032
,,8.90896,B2_21,0.041
,,8.94528,B4_42,0.021
,,8.9496,B2_11,0.055
,,9.01272,B4_42,0.018
,,9.03712,B2_34,0.013
,,9.03808,B5_42,0.012
,,9.04872,B5_11,0.019
,,9.05592,B3_44,0.048
,,9.05936,B3_42,0.019
,,9.06376,B3_11,0.038
,,9.098,B5_33,0.063
,,9.09984,B2_44,0.042
,,9.10056,B5_44,0.018
,,9.10272,B5_11,0.022
,,9.10512,B2_44,0.034
,,9.10552,B5_32,0.013
,,9.10568,B5_22,0.025
,,9.1068,B4_33,0.014
,,9.14112,B2_22,0.013
,,9.17056,B5_44,0.016
,,9.17536,B2_12,0.014
,,9.18216,B2_43,0.013
,,9.20528,B5_23,0.03
,,9.22,B2_34,0.016
,,9.2356,B2_21,0.02
,,9.24744,B4_42,0.017
,,9.24928,B3_31,0.021
,,9.25312,B2_21,0.041
,,9.26784,B2_12,0.014
,,9.27064,B1_24,0.034
,,9.28656,B4_33,0.013
,,9.29392,B5_14,0.015
,,9.40704,B5_11,0.015
,,9.42568,B2_12,0.016
,,9.43152,B2_11,0.019
,,9.43208,B2_31,0.028
,,9.43328,B4_43,0.02
,,9.43944,B2_34,0.023
,,9.44088,B2_42,0.014
,,9.4824,B2_43,0.016
,,9.49112,B5_11,0.015
,,9.49848,B2_12,0.013
,,9.55168,B4_22,0.04
,,9.55368,B2_22,0.014
,,9.58176,B2_43,0.037
,,9.5824,B2_32,0.022
,,9.58288,B2_11,0.029
,,9.58296,B2_34,0.036
,,9.63184,B2_43,0.029
,,9.63216,B2_32,0.034
,,9.63288,B2_21,0.018
,,9.63424,B5_24,0.017
,,9.66976,B2_34,0.026
,,9.67792,B2_34,0.044
,,9.68456,B2_43,0.018
,,9.8028,B2_42,0.018
,,9.81808,B6_43,0.018
,,9.82592,B4_42,0.016
,,9.82832,B4_43,0.034
,,9.86176,B2_31,0.017
,,9.86224,B2_32,0.017
,,9.89728,B2_31,0.011
,,9.90456,B4_22,0.036
,,9.90736,B4_24,0.024
,,9.90768,B4_23,0.026
,,9.90784,B4_13,0.015
,,9.9168,B6_22,0.017
,,9.91768,B4_12,0.016
,,9.92216,B4_44,0.023
,,9.92256,B4_42,0.062
,,9.96416,B6_22,0.014
,,10.01792,B2_22,0.013
,,10.02912,B1_34,0.015
,,10.05704,B1_24,0.033
,,10.06848,B6_22,0.016
,,10.07888,B4_23,0.018
,,10.08984,B4_33,0.014
,,10.1432,B6_43,0.031
,,10.15976,B4_22,0.036
,,10.16224,B4_24,0.021
,,10.16256,B4_13,0.019
,,10.16256,B4_23,0.023
,,10.17336,B4_44,0.02
,,10.1756,B4_22,0.036
,,10.17824,B4_24,0.023
,,10.17856,B4_23,0.025
,,10.17872,B4_13,0.015
,,10.18912,B4_12,0.019
,,10.18984,B4_14,0.01
,,10.19216,B4_24,0.018
,,10.19224,B4_22,0.037
,,10.1928,B4_44,0.024
,,10.19304,B4_43,0.019
,,10.1932,B4_42,0.063
,,10.19488,B4_24,0.023
,,10.1952,B4_23,0.024
,,10.19536,B4_13,0.015
,,10.1992,B4_24,0.019
,,10.20616,B4_44,0.018
,,10.20632,B4_12,0.017
,,10.21672,B4_32,0.014
,,10.21696,B4_43,0.027
,,10.21816,B4_34,0.022
,,10.25784,B2_11,0.015
,,10.27216,B5_24,0.016
,,10.31944,B2_42,0.052
,,10.362,B2_34,0.024
,,10.38304,B2_31,0.015
,,10.38352,B2_32,0.016
,,10.38472,B2_22,0.014
,,10.402,B5_24,0.018
,,10.40848,B3_44,0.052
,,10.42848,B5_11,0.023
,,10.45784,B4_42,0.016
,,10.46136,B4_42,0.031
,,10.49656,B2_44,0.026
,,10.51496,B5_11,0.019
,,10.55784,B2_21,0.025
,,10.56272,B2_43,0.036
,,10.56336,B2_32,0.022
,,10.56368,B2_22,0.014
,,10.56384,B2_11,0.03
,,10.56512,B2_34,0.037
,,10.57376,B2_44,0.033
,,10.63712,B4_43,0.02
,,10.66808,B2_31,0.013
,,10.67176,B4_22,0.036
,,10.67432,B4_24,0.022
,,10.67456,B4_23,0.022
,,10.67472,B4_13,0.016
,,10.6784,B2_32,0.015
,,10.68912,B2_21,0.017
,,10.71016,B5_23,0.028
,,10.7388,B2_43,0.019
,,10.74776,B5_23,0.021
,,10.75504,B5_44,0.017
,,10.76768,B2_43,0.024
,,10.86624,B5_11,0.013
,,10.88472,B5_11,0.019
,,10.896,B1_24,0.037
,,10.89824,B2_42,0.023
,,10.91688,B4_43,0.016
,,10.93216,B2_43,0.017
,,10.98872,B6_43,0.032
,,11.05496,B2_42,0.028
,,11.0556,B2_12,0.015
,,11.05808,B2_21,0.046
,,11.05944,B2_42,0.019
,,11.06432,B2_21,0.027
,,11.06744,B2_24,0.013
,,11.0688,B2_21,0.023
,,11.07896,B4_22,0.011
,,11.09616,B2_21,0.019
,,11.10256,B5_24,0.016
,,11.19376,B1_31,0.015
,,11.29296,B2_11,0.017
,,11.29568,B2_31,0.014
,,11.30752,B6_43,0.037
,,11.31584,B2_11,0.017
,,11.4256,B4_22,0.039
,,11.428,B4_24,0.026
,,11.4284,B4_13,0.017
,,11.47344,B2_21,0.019
,,11.56432,B4_42,0.019
