Investigator,,Time (s),Electrode,Amplitude(mV),,,,,,,,,,,,,,,,,,,,
,,754.61528,C4_31,0.02,,,,,,,,,,,,,,,,,,,,
,,754.9276,D5_23,0.016,,,,,,,,,,,,,,,,,,,,
,,755.04008,C4_31,0.016,,,,,,,,,,,,,,,,,,,,
,,755.05592,D5_23,0.022,,,,,,,,,,,,,,,,,,,,
,,755.65008,D5_23,0.018,,,,,,,,,,,,,,,,,,,,
,,755.72872,D5_23,0.02,,,,,,,,,,,,,,,,,,,,
,,755.77824,D5_23,0.019,,,,,,,,,,,,,,,,,,,,
,,755.79384,D5_23,0.024,,,,,,,,,,,,,,,,,,,,
,,755.81096,A2_21,0.013,,,,,,,,,,,,,,,,,,,,
,,755.84344,D5_23,0.024,,,,,,,,,,,,,,,,,,,,
,,755.90824,D5_23,0.022,,,,,,,,,,,,,,,,,,,,
,,755.93608,D5_23,0.029,,,,,,,,,,,,,,,,,,,,
,,755.964,D5_23,0.024,,,,,,,,,,,,,,,,,,,,
,,755.99344,A1_34,0.017,,,,,,,,,,,,,,,,,,,,
,,755.9952,D5_23,0.024,,,,,,,,,,,,,,,,,,,,
,,756.05296,D5_23,0.02,,,,,,,,,,,,,,,,,,,,
,,756.11656,D5_23,0.025,,,,,,,,,,,,,,,,,,,,
,,756.1816,D5_23,0.015,,,,,,,,,,,,,,,,,,,,
,,756.1968,D5_23,0.022,,,,,,,,,,,,,,,,,,,,
,,756.4528,D5_23,0.017,,,,,,,,,,,,,,,,,,,,
,,756.51352,A1_24,0.016,,,,,,,,,,,,,,,,,,,,
,,756.59312,C5_42,0.02,,,,,,,,,,,,,,,,,,,,
,,756.64544,C5_42,0.015,,,,,,,,,,,,,,,,,,,,
,,756.65872,D5_23,0.019,,,,,,,,,,,,,,,,,,,,
,,756.66264,D5_23,0.038,,,,,,,,,,,,,,,,,,,,
,,756.6628,D5_33,0.021,,,,,,,,,,,,,,,,,,,,
,,756.66816,D5_23,0.04,,,,,,,,,,,,,,,,,,,,
,,756.68176,C5_42,0.018,,,,,,,,,,,,,,,,,,,,
,,756.70712,D5_23,0.018,,,,,,,,,,,,,,,,,,,,
,,756.71824,C5_42,0.016,,,,,,,,,,,,,,,,,,,,
,,756.76096,C5_42,0.016,,,,,,,,,,,,,,,,,,,,
,,756.80824,C5_42,0.014,,,,,,,,,,,,,,,,,,,,
,,756.8124,C6_42,0.018,,,,,,,,,,,,,,,,,,,,
,,757.20072,D4_42,0.013,,,,,,,,,,,,,,,,,,,,
,,757.27304,B4_13,0.01,,,,,,,,,,,,,,,,,,,,
,,757.2852,D5_23,0.018,,,,,,,,,,,,,,,,,,,,
,,757.30536,D5_23,0.018,,,,,,,,,,,,,,,,,,,,
,,757.48696,D5_23,0.021,,,,,,,,,,,,,,,,,,,,
,,757.50112,A4_14,0.021,,,,,,,,,,,,,,,,,,,,
,,757.60096,D5_23,0.024,,,,,,,,,,,,,,,,,,,,
,,757.71384,A5_32,0.023,,,,,,,,,,,,,,,,,,,,
,,757.75832,A5_42,0.01,,,,,,,,,,,,,,,,,,,,
,,757.76688,C5_42,0.017,,,,,,,,,,,,,,,,,,,,
,,757.81488,D5_23,0.016,,,,,,,,,,,,,,,,,,,,
,,757.8384,C5_42,0.017,,,,,,,,,,,,,,,,,,,,
,,757.96224,A5_32,0.011,,,,,,,,,,,,,,,,,,,,
,,757.98312,A1_43,0.017,,,,,,,,,,,,,,,,,,,,
,,757.99752,D5_23,0.02,,,,,,,,,,,,,,,,,,,,
,,758.00888,C5_42,0.014,,,,,,,,,,,,,,,,,,,,
,,758.08136,C5_42,0.018,,,,,,,,,,,,,,,,,,,,
,,758.19496,C5_42,0.019,,,,,,,,,,,,,,,,,,,,
,,758.24616,C5_42,0.017,,,,,,,,,,,,,,,,,,,,
,,758.28888,C5_42,0.015,,,,,,,,,,,,,,,,,,,,
,,758.5204,D5_23,0.019,,,,,,,,,,,,,,,,,,,,
,,758.61808,D4_42,0.017,,,,,,,,,,,,,,,,,,,,
,,758.8412,D4_42,0.018,,,,,,,,,,,,,,,,,,,,
,,758.97128,A6_12,0.025,,,,,,,,,,,,,,,,,,,,
,,759.1664,D1_44,0.035,,,,,,,,,,,,,,,,,,,,
,,759.22424,D3_32,0.015,,,,,,,,,,,,,,,,,,,,
,,759.25712,D1_44,0.02,,,,,,,,,,,,,,,,,,,,
,,759.40256,D5_23,0.018,,,,,,,,,,,,,,,,,,,,
,,759.46904,D4_42,0.021,,,,,,,,,,,,,,,,,,,,
,,759.58592,D2_44,0.021,,,,,,,,,,,,,,,,,,,,
,,759.75312,D4_42,0.021,,,,,,,,,,,,,,,,,,,,
,,759.88224,C3_34,0.016,,,,,,,,,,,,,,,,,,,,
,,759.98408,D3_32,0.015,,,,,,,,,,,,,,,,,,,,
,,760.32032,D5_23,0.017,,,,,,,,,,,,,,,,,,,,
,,760.45184,D2_44,0.027,,,,,,,,,,,,,,,,,,,,
,,760.49208,D2_44,0.021,,,,,,,,,,,,,,,,,,,,
,,760.53696,D2_44,0.021,,,,,,,,,,,,,,,,,,,,
,,760.55664,B4_43,0.015,,,,,,,,,,,,,,,,,,,,
,,760.5796,D2_44,0.019,,,,,,,,,,,,,,,,,,,,
,,760.58208,D3_43,0.017,,,,,,,,,,,,,,,,,,,,
,,760.7776,C5_42,0.016,,,,,,,,,,,,,,,,,,,,
,,760.89496,C1_13,0.013,,,,,,,,,,,,,,,,,,,,
,,760.90968,C4_31,0.013,,,,,,,,,,,,,,,,,,,,
,,761.0532,D5_23,0.02,,,,,,,,,,,,,,,,,,,,
,,761.37936,D5_23,0.02,,,,,,,,,,,,,,,,,,,,
,,761.3948,D4_42,0.018,,,,,,,,,,,,,,,,,,,,
,,761.44912,C4_31,0.02,,,,,,,,,,,,,,,,,,,,
,,761.7316,C1_22,0.015,,,,,,,,,,,,,,,,,,,,
,,761.74392,C5_42,0.017,,,,,,,,,,,,,,,,,,,,
,,761.9172,A1_43,0.014,,,,,,,,,,,,,,,,,,,,
,,762.22368,D5_23,0.018,,,,,,,,,,,,,,,,,,,,
,,762.24288,B4_24,0.014,,,,,,,,,,,,,,,,,,,,
,,762.30128,D3_32,0.014,,,,,,,,,,,,,,,,,,,,
,,762.45232,C4_31,0.019,,,,,,,,,,,,,,,,,,,,
,,762.55064,C6_22,0.014,,,,,,,,,,,,,,,,,,,,
,,762.886,C3_34,0.018,,,,,,,,,,,,,,,,,,,,
,,763.02816,C2_22,0.016,,,,,,,,,,,,,,,,,,,,
,,763.0844,C6_24,0.013,,,,,,,,,,,,,,,,,,,,
,,763.09312,D5_23,0.019,,,,,,,,,,,,,,,,,,,,
,,763.33304,D5_23,0.017,,,,,,,,,,,,,,,,,,,,
,,763.38168,A2_43,0.021,,,,,,,,,,,,,,,,,,,,
,,763.43472,D5_23,0.017,,,,,,,,,,,,,,,,,,,,
,,763.44104,A2_24,0.02,,,,,,,,,,,,,,,,,,,,
,,763.88776,C6_31,0.014,,,,,,,,,,,,,,,,,,,,
,,763.96512,D5_23,0.019,,,,,,,,,,,,,,,,,,,,
,,764.00472,D5_23,0.02,,,,,,,,,,,,,,,,,,,,
,,764.06472,D5_23,0.019,,,,,,,,,,,,,,,,,,,,
,,764.13384,D5_23,0.021,,,,,,,,,,,,,,,,,,,,
,,764.20288,D5_23,0.016,,,,,,,,,,,,,,,,,,,,
,,764.24928,D5_23,0.018,,,,,,,,,,,,,,,,,,,,
,,764.26728,D3_32,0.014,,,,,,,,,,,,,,,,,,,,
,,764.4176,D4_31,0.015,,,,,,,,,,,,,,,,,,,,
,,764.60256,A1_44,0.013,,,,,,,,,,,,,,,,,,,,
,,764.7592,D5_23,0.017,,,,,,,,,,,,,,,,,,,,
,,764.8792,A5_32,0.017,,,,,,,,,,,,,,,,,,,,
,,764.9112,A6_11,0.023,,,,,,,,,,,,,,,,,,,,
,,764.93048,D2_44,0.024,,,,,,,,,,,,,,,,,,,,
,,764.96264,D5_23,0.026,,,,,,,,,,,,,,,,,,,,
,,764.97472,D2_44,0.021,,,,,,,,,,,,,,,,,,,,
,,765.15024,D3_44,0.015,,,,,,,,,,,,,,,,,,,,
,,765.16704,A6_22,0.017,,,,,,,,,,,,,,,,,,,,
,,765.1676,D3_32,0.013,,,,,,,,,,,,,,,,,,,,
,,765.32432,D4_42,0.019,,,,,,,,,,,,,,,,,,,,
,,765.49872,D5_34,0.012,,,,,,,,,,,,,,,,,,,,
,,765.59168,C6_24,0.015,,,,,,,,,,,,,,,,,,,,
,,765.74528,D5_23,0.021,,,,,,,,,,,,,,,,,,,,
,,765.81008,D5_23,0.02,,,,,,,,,,,,,,,,,,,,
,,765.84936,C6_31,0.017,,,,,,,,,,,,,,,,,,,,
,,765.87408,D5_23,0.019,,,,,,,,,,,,,,,,,,,,
,,765.89968,D4_42,0.022,,,,,,,,,,,,,,,,,,,,
,,765.92528,D3_23,0.013,,,,,,,,,,,,,,,,,,,,
,,765.93192,D5_23,0.021,,,,,,,,,,,,,,,,,,,,
,,765.98688,A1_44,0.015,,,,,,,,,,,,,,,,,,,,
,,766.00232,D5_23,0.021,,,,,,,,,,,,,,,,,,,,
,,766.10688,D5_23,0.017,,,,,,,,,,,,,,,,,,,,
,,766.18056,C5_42,0.018,,,,,,,,,,,,,,,,,,,,
,,766.35992,A2_44,0.018,,,,,,,,,,,,,,,,,,,,
,,766.64848,D5_23,0.021,,,,,,,,,,,,,,,,,,,,
,,766.71176,C4_31,0.014,,,,,,,,,,,,,,,,,,,,
,,766.94,C4_31,0.012,,,,,,,,,,,,,,,,,,,,
,,766.99816,A6_12,0.021,,,,,,,,,,,,,,,,,,,,
,,767.13232,D5_23,0.019,,,,,,,,,,,,,,,,,,,,
,,767.4784,D4_42,0.02,,,,,,,,,,,,,,,,,,,,
,,767.90488,D5_23,0.018,,,,,,,,,,,,,,,,,,,,
,,767.92336,D5_23,0.014,,,,,,,,,,,,,,,,,,,,
,,768.00344,D5_23,0.023,,,,,,,,,,,,,,,,,,,,
,,768.01832,A2_24,0.016,,,,,,,,,,,,,,,,,,,,
,,768.47536,D5_23,0.019,,,,,,,,,,,,,,,,,,,,
,,768.51264,D5_23,0.014,,,,,,,,,,,,,,,,,,,,
,,768.71072,D5_23,0.015,,,,,,,,,,,,,,,,,,,,
,,768.71264,C1_31,0.013,,,,,,,,,,,,,,,,,,,,
,,768.73712,D4_31,0.017,,,,,,,,,,,,,,,,,,,,
,,768.94088,C1_31,0.013,,,,,,,,,,,,,,,,,,,,
,,769.14232,C1_31,0.014,,,,,,,,,,,,,,,,,,,,
,,769.3268,D5_23,0.015,,,,,,,,,,,,,,,,,,,,
,,769.46816,C1_31,0.017,,,,,,,,,,,,,,,,,,,,
,,769.58368,D5_23,0.017,,,,,,,,,,,,,,,,,,,,
,,769.95984,D5_23,0.018,,,,,,,,,,,,,,,,,,,,
,,769.97416,D5_23,0.014,,,,,,,,,,,,,,,,,,,,
,,770.5212,D5_23,0.017,,,,,,,,,,,,,,,,,,,,
,,770.83768,C3_12,0.012,,,,,,,,,,,,,,,,,,,,
,,771.24144,D5_23,0.019,,,,,,,,,,,,,,,,,,,,
,,771.31336,B4_24,0.014,,,,,,,,,,,,,,,,,,,,
,,771.98408,A1_22,0.016,,,,,,,,,,,,,,,,,,,,
,,772.07312,D5_23,0.02,,,,,,,,,,,,,,,,,,,,
,,772.17144,A1_24,0.014,,,,,,,,,,,,,,,,,,,,
,,772.89176,D5_23,0.018,,,,,,,,,,,,,,,,,,,,
,,772.97008,D5_23,0.025,,,,,,,,,,,,,,,,,,,,
,,773.03896,D5_23,0.024,,,,,,,,,,,,,,,,,,,,
,,773.06208,D5_23,0.019,,,,,,,,,,,,,,,,,,,,
,,773.21096,D5_23,0.017,,,,,,,,,,,,,,,,,,,,
,,773.29824,A6_11,0.021,,,,,,,,,,,,,,,,,,,,
,,773.65736,C3_34,0.019,,,,,,,,,,,,,,,,,,,,
,,773.67408,A2_12,0.016,,,,,,,,,,,,,,,,,,,,
,,773.8448,B6_13,0.02,,,,,,,,,,,,,,,,,,,,
,,773.84824,A2_12,0.018,,,,,,,,,,,,,,,,,,,,
,,773.86984,B6_13,0.015,,,,,,,,,,,,,,,,,,,,
,,773.87688,D3_32,0.018,,,,,,,,,,,,,,,,,,,,
,,773.88536,B6_13,0.013,,,,,,,,,,,,,,,,,,,,
,,773.88912,A2_12,0.015,,,,,,,,,,,,,,,,,,,,
,,773.94112,A2_12,0.015,,,,,,,,,,,,,,,,,,,,
,,774.08416,B6_13,0.019,,,,,,,,,,,,,,,,,,,,
,,774.11464,B6_13,0.017,,,,,,,,,,,,,,,,,,,,
,,774.13824,B6_13,0.018,,,,,,,,,,,,,,,,,,,,
,,774.16984,B6_13,0.016,,,,,,,,,,,,,,,,,,,,
,,774.21104,B6_13,0.018,,,,,,,,,,,,,,,,,,,,
,,774.26016,B6_13,0.016,,,,,,,,,,,,,,,,,,,,
,,774.31616,D5_23,0.021,,,,,,,,,,,,,,,,,,,,
,,774.32264,B6_13,0.018,,,,,,,,,,,,,,,,,,,,
,,774.49096,D5_23,0.024,,,,,,,,,,,,,,,,,,,,
,,774.51304,D3_43,0.014,,,,,,,,,,,,,,,,,,,,
,,774.5504,A6_12,0.017,,,,,,,,,,,,,,,,,,,,
,,774.602,D5_23,0.017,,,,,,,,,,,,,,,,,,,,
,,774.85952,D2_44,0.023,,,,,,,,,,,,,,,,,,,,
,,774.9456,D2_44,0.015,,,,,,,,,,,,,,,,,,,,
,,774.96904,D5_23,0.019,,,,,,,,,,,,,,,,,,,,
,,775.1792,D5_23,0.016,,,,,,,,,,,,,,,,,,,,
,,775.19008,D3_32,0.013,,,,,,,,,,,,,,,,,,,,
,,775.2068,D5_24,0.011,,,,,,,,,,,,,,,,,,,,
,,775.20864,D5_23,0.028,,,,,,,,,,,,,,,,,,,,
,,775.2128,D5_23,0.073,,,,,,,,,,,,,,,,,,,,
,,775.2304,D5_33,0.017,,,,,,,,,,,,,,,,,,,,
,,775.23192,D5_23,0.018,,,,,,,,,,,,,,,,,,,,
,,775.23576,D5_23,0.028,,,,,,,,,,,,,,,,,,,,
,,775.24152,D5_23,0.021,,,,,,,,,,,,,,,,,,,,
,,775.24656,D5_24,0.013,,,,,,,,,,,,,,,,,,,,
,,775.24768,D5_23,0.04,,,,,,,,,,,,,,,,,,,,
,,775.24904,D5_34,0.039,,,,,,,,,,,,,,,,,,,,
,,775.25072,D5_33,0.02,,,,,,,,,,,,,,,,,,,,
,,775.25152,D5_23,0.029,,,,,,,,,,,,,,,,,,,,
,,775.25384,D5_23,0.028,,,,,,,,,,,,,,,,,,,,
,,775.25392,D5_33,0.017,,,,,,,,,,,,,,,,,,,,
,,775.25456,D5_34,0.034,,,,,,,,,,,,,,,,,,,,
,,775.25704,D5_33,0.018,,,,,,,,,,,,,,,,,,,,
,,775.2572,D5_23,0.045,,,,,,,,,,,,,,,,,,,,
,,775.26064,D5_23,0.058,,,,,,,,,,,,,,,,,,,,
,,775.26304,D5_33,0.041,,,,,,,,,,,,,,,,,,,,
,,775.26448,D5_23,0.054,,,,,,,,,,,,,,,,,,,,
,,775.26528,D5_33,0.022,,,,,,,,,,,,,,,,,,,,
,,775.26608,D5_34,0.044,,,,,,,,,,,,,,,,,,,,
,,775.2668,D5_23,0.072,,,,,,,,,,,,,,,,,,,,
,,775.26808,D5_24,0.012,,,,,,,,,,,,,,,,,,,,
,,775.26984,D5_23,0.056,,,,,,,,,,,,,,,,,,,,
,,775.26992,D5_34,0.022,,,,,,,,,,,,,,,,,,,,
,,775.27216,D5_22,0.014,,,,,,,,,,,,,,,,,,,,
,,775.27232,D5_33,0.036,,,,,,,,,,,,,,,,,,,,
,,775.27296,D5_23,0.036,,,,,,,,,,,,,,,,,,,,
,,775.2736,D5_24,0.01,,,,,,,,,,,,,,,,,,,,
,,775.27552,D5_33,0.018,,,,,,,,,,,,,,,,,,,,
,,775.27592,D5_34,0.021,,,,,,,,,,,,,,,,,,,,
,,775.27696,D5_23,0.024,,,,,,,,,,,,,,,,,,,,
,,775.27824,D5_34,0.025,,,,,,,,,,,,,,,,,,,,
,,775.27944,D5_23,0.048,,,,,,,,,,,,,,,,,,,,
,,775.2804,D5_33,0.023,,,,,,,,,,,,,,,,,,,,
,,775.28256,D5_23,0.071,,,,,,,,,,,,,,,,,,,,
,,775.284,D5_33,0.033,,,,,,,,,,,,,,,,,,,,
,,775.2848,D5_34,0.017,,,,,,,,,,,,,,,,,,,,
,,775.28528,D5_23,0.048,,,,,,,,,,,,,,,,,,,,
,,775.28712,D5_33,0.033,,,,,,,,,,,,,,,,,,,,
,,775.28792,D5_23,0.044,,,,,,,,,,,,,,,,,,,,
,,775.29048,D5_33,0.025,,,,,,,,,,,,,,,,,,,,
,,775.2912,D5_23,0.052,,,,,,,,,,,,,,,,,,,,
,,775.2912,D5_34,0.038,,,,,,,,,,,,,,,,,,,,
,,775.2928,D5_33,0.031,,,,,,,,,,,,,,,,,,,,
,,775.29296,D5_24,0.02,,,,,,,,,,,,,,,,,,,,
,,775.29304,D5_22,0.011,,,,,,,,,,,,,,,,,,,,
,,775.29344,D5_34,0.02,,,,,,,,,,,,,,,,,,,,
,,775.29352,D5_23,0.047,,,,,,,,,,,,,,,,,,,,
,,775.296,D5_23,0.045,,,,,,,,,,,,,,,,,,,,
,,775.2984,D5_33,0.029,,,,,,,,,,,,,,,,,,,,
,,775.29856,D5_23,0.057,,,,,,,,,,,,,,,,,,,,
,,775.29896,D5_34,0.015,,,,,,,,,,,,,,,,,,,,
,,775.29928,D5_24,0.01,,,,,,,,,,,,,,,,,,,,
,,775.30088,D5_23,0.05,,,,,,,,,,,,,,,,,,,,
,,775.30136,D5_33,0.032,,,,,,,,,,,,,,,,,,,,
,,775.30144,D5_22,0.01,,,,,,,,,,,,,,,,,,,,
,,775.30336,D5_23,0.039,,,,,,,,,,,,,,,,,,,,
,,775.30352,D5_34,0.021,,,,,,,,,,,,,,,,,,,,
,,775.304,D5_24,0.011,,,,,,,,,,,,,,,,,,,,
,,775.30488,D5_33,0.041,,,,,,,,,,,,,,,,,,,,
,,775.30608,D5_23,0.058,,,,,,,,,,,,,,,,,,,,
,,775.30744,D5_24,0.008,,,,,,,,,,,,,,,,,,,,
,,775.308,D5_33,0.019,,,,,,,,,,,,,,,,,,,,
,,775.30888,D5_23,0.022,,,,,,,,,,,,,,,,,,,,
,,775.30976,D5_34,0.022,,,,,,,,,,,,,,,,,,,,
,,775.31048,D5_24,0.01,,,,,,,,,,,,,,,,,,,,
,,775.31072,D5_33,0.019,,,,,,,,,,,,,,,,,,,,
,,775.31128,D5_23,0.038,,,,,,,,,,,,,,,,,,,,
,,775.31312,D5_34,0.021,,,,,,,,,,,,,,,,,,,,
,,775.31384,D5_23,0.055,,,,,,,,,,,,,,,,,,,,
,,775.31392,D5_33,0.028,,,,,,,,,,,,,,,,,,,,
,,775.31608,D5_34,0.04,,,,,,,,,,,,,,,,,,,,
,,775.31656,D5_23,0.04,,,,,,,,,,,,,,,,,,,,
,,775.31944,D5_23,0.053,,,,,,,,,,,,,,,,,,,,
,,775.32,D5_34,0.013,,,,,,,,,,,,,,,,,,,,
,,775.32008,D5_33,0.037,,,,,,,,,,,,,,,,,,,,
,,775.32192,D5_23,0.028,,,,,,,,,,,,,,,,,,,,
,,775.3224,D5_33,0.011,,,,,,,,,,,,,,,,,,,,
,,775.32272,D5_34,0.018,,,,,,,,,,,,,,,,,,,,
,,775.32416,D5_23,0.042,,,,,,,,,,,,,,,,,,,,
,,775.32528,D5_33,0.029,,,,,,,,,,,,,,,,,,,,
,,775.32736,D5_23,0.031,,,,,,,,,,,,,,,,,,,,
,,775.32736,D5_34,0.029,,,,,,,,,,,,,,,,,,,,
,,775.32992,D5_23,0.042,,,,,,,,,,,,,,,,,,,,
,,775.3308,D5_33,0.032,,,,,,,,,,,,,,,,,,,,
,,775.33104,D5_34,0.025,,,,,,,,,,,,,,,,,,,,
,,775.33312,D5_23,0.032,,,,,,,,,,,,,,,,,,,,
,,775.33328,D5_34,0.015,,,,,,,,,,,,,,,,,,,,
,,775.3356,D5_23,0.02,,,,,,,,,,,,,,,,,,,,
,,775.33776,D5_33,0.024,,,,,,,,,,,,,,,,,,,,
,,775.33808,D5_23,0.037,,,,,,,,,,,,,,,,,,,,
,,775.33888,D5_34,0.016,,,,,,,,,,,,,,,,,,,,
,,775.3412,D5_33,0.022,,,,,,,,,,,,,,,,,,,,
,,775.34136,D5_34,0.02,,,,,,,,,,,,,,,,,,,,
,,775.344,D5_34,0.041,,,,,,,,,,,,,,,,,,,,
,,775.34424,D5_33,0.022,,,,,,,,,,,,,,,,,,,,
,,775.34448,D5_23,0.022,,,,,,,,,,,,,,,,,,,,
,,775.34712,D5_34,0.016,,,,,,,,,,,,,,,,,,,,
,,775.34736,D5_23,0.047,,,,,,,,,,,,,,,,,,,,
,,775.34808,D5_33,0.027,,,,,,,,,,,,,,,,,,,,
,,775.35048,D5_34,0.025,,,,,,,,,,,,,,,,,,,,
,,775.3508,D5_33,0.027,,,,,,,,,,,,,,,,,,,,
,,775.3544,D5_34,0.019,,,,,,,,,,,,,,,,,,,,
,,775.35504,D5_23,0.039,,,,,,,,,,,,,,,,,,,,
,,775.35528,D5_33,0.024,,,,,,,,,,,,,,,,,,,,
,,775.35776,D5_33,0.02,,,,,,,,,,,,,,,,,,,,
,,775.358,D5_23,0.027,,,,,,,,,,,,,,,,,,,,
,,775.36144,D5_23,0.024,,,,,,,,,,,,,,,,,,,,
,,775.3616,D5_33,0.015,,,,,,,,,,,,,,,,,,,,
,,775.36392,D5_34,0.03,,,,,,,,,,,,,,,,,,,,
,,775.36408,D5_23,0.023,,,,,,,,,,,,,,,,,,,,
,,775.36704,D5_23,0.026,,,,,,,,,,,,,,,,,,,,
,,775.36768,D5_34,0.021,,,,,,,,,,,,,,,,,,,,
,,775.36888,D5_33,0.018,,,,,,,,,,,,,,,,,,,,
,,775.36936,D5_23,0.032,,,,,,,,,,,,,,,,,,,,
,,775.37128,D5_33,0.019,,,,,,,,,,,,,,,,,,,,
,,775.372,D5_23,0.025,,,,,,,,,,,,,,,,,,,,
,,775.37336,D5_34,0.023,,,,,,,,,,,,,,,,,,,,
,,775.3736,D5_33,0.02,,,,,,,,,,,,,,,,,,,,
,,775.37464,D5_23,0.071,,,,,,,,,,,,,,,,,,,,
,,775.37672,D5_33,0.023,,,,,,,,,,,,,,,,,,,,
,,775.37696,D5_23,0.016,,,,,,,,,,,,,,,,,,,,
,,775.378,D5_34,0.027,,,,,,,,,,,,,,,,,,,,
,,775.37936,D5_23,0.026,,,,,,,,,,,,,,,,,,,,
,,775.37952,D5_33,0.034,,,,,,,,,,,,,,,,,,,,
,,775.37984,D5_24,0.01,,,,,,,,,,,,,,,,,,,,
,,775.38216,D5_23,0.024,,,,,,,,,,,,,,,,,,,,
,,775.38312,D5_34,0.014,,,,,,,,,,,,,,,,,,,,
,,775.38544,D5_34,0.019,,,,,,,,,,,,,,,,,,,,
,,775.38632,D5_23,0.026,,,,,,,,,,,,,,,,,,,,
,,775.38728,D5_33,0.032,,,,,,,,,,,,,,,,,,,,
,,775.38936,D5_34,0.014,,,,,,,,,,,,,,,,,,,,
,,775.39032,D5_33,0.043,,,,,,,,,,,,,,,,,,,,
,,775.39328,D5_23,0.027,,,,,,,,,,,,,,,,,,,,
,,775.39416,D5_33,0.02,,,,,,,,,,,,,,,,,,,,
,,775.39816,D5_33,0.015,,,,,,,,,,,,,,,,,,,,
,,775.40128,D5_23,0.017,,,,,,,,,,,,,,,,,,,,
,,775.40128,D5_33,0.02,,,,,,,,,,,,,,,,,,,,
,,775.4036,D5_23,0.011,,,,,,,,,,,,,,,,,,,,
,,775.40408,D5_33,0.024,,,,,,,,,,,,,,,,,,,,
,,775.40616,D5_23,0.022,,,,,,,,,,,,,,,,,,,,
,,775.40848,D5_23,0.029,,,,,,,,,,,,,,,,,,,,
,,775.4096,D5_33,0.034,,,,,,,,,,,,,,,,,,,,
,,775.4096,D5_34,0.019,,,,,,,,,,,,,,,,,,,,
,,775.41192,D5_23,0.018,,,,,,,,,,,,,,,,,,,,
,,775.41504,D5_33,0.02,,,,,,,,,,,,,,,,,,,,
,,775.41552,D5_23,0.036,,,,,,,,,,,,,,,,,,,,
,,775.41912,D5_33,0.025,,,,,,,,,,,,,,,,,,,,
,,775.41952,D5_23,0.023,,,,,,,,,,,,,,,,,,,,
,,775.42256,D5_33,0.025,,,,,,,,,,,,,,,,,,,,
,,775.42392,D5_23,0.021,,,,,,,,,,,,,,,,,,,,
,,775.42872,D5_33,0.019,,,,,,,,,,,,,,,,,,,,
,,775.42928,D5_34,0.018,,,,,,,,,,,,,,,,,,,,
,,775.4296,D5_23,0.018,,,,,,,,,,,,,,,,,,,,
,,775.43152,D5_33,0.026,,,,,,,,,,,,,,,,,,,,
,,775.43456,D5_23,0.014,,,,,,,,,,,,,,,,,,,,
,,775.44448,D5_23,0.021,,,,,,,,,,,,,,,,,,,,
,,775.4472,D5_23,0.024,,,,,,,,,,,,,,,,,,,,
,,775.45672,D5_33,0.022,,,,,,,,,,,,,,,,,,,,
,,775.45864,D5_23,0.022,,,,,,,,,,,,,,,,,,,,
,,775.46096,D5_23,0.049,,,,,,,,,,,,,,,,,,,,
,,775.46176,D5_34,0.014,,,,,,,,,,,,,,,,,,,,
,,775.46568,D5_23,0.024,,,,,,,,,,,,,,,,,,,,
,,775.4708,D5_34,0.03,,,,,,,,,,,,,,,,,,,,
,,775.47272,D5_33,0.023,,,,,,,,,,,,,,,,,,,,
,,775.47848,D5_23,0.02,,,,,,,,,,,,,,,,,,,,
,,775.48088,D5_23,0.024,,,,,,,,,,,,,,,,,,,,
,,775.48856,D5_23,0.025,,,,,,,,,,,,,,,,,,,,
,,775.49312,D5_23,0.032,,,,,,,,,,,,,,,,,,,,
,,775.49712,D5_23,0.025,,,,,,,,,,,,,,,,,,,,
,,775.49944,D5_33,0.017,,,,,,,,,,,,,,,,,,,,
,,775.49952,D5_23,0.031,,,,,,,,,,,,,,,,,,,,
,,775.50232,D5_23,0.023,,,,,,,,,,,,,,,,,,,,
,,775.50272,D5_33,0.019,,,,,,,,,,,,,,,,,,,,
,,775.50912,D5_33,0.015,,,,,,,,,,,,,,,,,,,,
,,775.50952,D5_23,0.016,,,,,,,,,,,,,,,,,,,,
,,775.512,D5_23,0.02,,,,,,,,,,,,,,,,,,,,
,,775.52016,D5_23,0.021,,,,,,,,,,,,,,,,,,,,
,,775.5292,D5_33,0.019,,,,,,,,,,,,,,,,,,,,
,,775.54176,D5_23,0.017,,,,,,,,,,,,,,,,,,,,
,,775.54776,D5_23,0.025,,,,,,,,,,,,,,,,,,,,
,,775.55,D5_23,0.023,,,,,,,,,,,,,,,,,,,,
,,775.55504,D5_34,0.018,,,,,,,,,,,,,,,,,,,,
,,775.55608,D5_33,0.014,,,,,,,,,,,,,,,,,,,,
,,775.55784,D5_23,0.027,,,,,,,,,,,,,,,,,,,,
,,775.558,D5_34,0.038,,,,,,,,,,,,,,,,,,,,
,,775.56232,D5_33,0.022,,,,,,,,,,,,,,,,,,,,
,,775.56768,D5_34,0.016,,,,,,,,,,,,,,,,,,,,
,,775.5732,D5_23,0.019,,,,,,,,,,,,,,,,,,,,
,,775.57576,D5_23,0.02,,,,,,,,,,,,,,,,,,,,
,,775.58224,D5_33,0.023,,,,,,,,,,,,,,,,,,,,
,,775.58272,D5_23,0.015,,,,,,,,,,,,,,,,,,,,
,,775.58456,D5_33,0.023,,,,,,,,,,,,,,,,,,,,
,,775.59536,D5_33,0.021,,,,,,,,,,,,,,,,,,,,
,,775.59568,D5_23,0.025,,,,,,,,,,,,,,,,,,,,
