Investigator,,Time (s),Electrode,Amplitude(mV),,,,,,,,,,,,,,,,,,,,
,,21.7632,D1_22,0.016,,,,,,,,,,,,,,,,,,,,
,,21.95576,C1_32,0.015,,,,,,,,,,,,,,,,,,,,
,,22.148,C1_32,0.014,,,,,,,,,,,,,,,,,,,,
,,22.3192,C1_32,0.011,,,,,,,,,,,,,,,,,,,,
,,22.32056,B4_23,0.016,,,,,,,,,,,,,,,,,,,,
,,22.43672,D5_23,0.016,,,,,,,,,,,,,,,,,,,,
,,22.48704,D2_44,0.027,,,,,,,,,,,,,,,,,,,,
,,22.53688,B4_23,0.02,,,,,,,,,,,,,,,,,,,,
,,22.77104,D3_14,0.017,,,,,,,,,,,,,,,,,,,,
,,22.81168,C1_32,0.012,,,,,,,,,,,,,,,,,,,,
,,22.85776,D3_14,0.016,,,,,,,,,,,,,,,,,,,,
,,23.0652,D5_23,0.019,,,,,,,,,,,,,,,,,,,,
,,23.10464,C1_32,0.013,,,,,,,,,,,,,,,,,,,,
,,23.12208,D5_23,0.022,,,,,,,,,,,,,,,,,,,,
,,23.24328,C1_44,0.015,,,,,,,,,,,,,,,,,,,,
,,23.24456,D5_23,0.016,,,,,,,,,,,,,,,,,,,,
,,23.25,D5_23,0.016,,,,,,,,,,,,,,,,,,,,
,,23.35608,C1_32,0.014,,,,,,,,,,,,,,,,,,,,
,,23.55608,A2_24,0.019,,,,,,,,,,,,,,,,,,,,
,,23.56784,C1_44,0.014,,,,,,,,,,,,,,,,,,,,
,,23.59352,B4_23,0.018,,,,,,,,,,,,,,,,,,,,
,,23.60832,A1_22,0.02,,,,,,,,,,,,,,,,,,,,
,,23.6468,D5_23,0.021,,,,,,,,,,,,,,,,,,,,
,,23.7436,D5_23,0.038,,,,,,,,,,,,,,,,,,,,
,,23.74704,D5_23,0.022,,,,,,,,,,,,,,,,,,,,
,,23.75224,D5_23,0.02,,,,,,,,,,,,,,,,,,,,
,,23.75736,D5_23,0.04,,,,,,,,,,,,,,,,,,,,
,,23.76192,D5_23,0.07,,,,,,,,,,,,,,,,,,,,
,,23.76768,D5_34,0.029,,,,,,,,,,,,,,,,,,,,
,,23.77112,D5_33,0.018,,,,,,,,,,,,,,,,,,,,
,,23.77448,D5_33,0.021,,,,,,,,,,,,,,,,,,,,
,,23.77616,D5_23,0.034,,,,,,,,,,,,,,,,,,,,
,,23.77952,D5_34,0.024,,,,,,,,,,,,,,,,,,,,
,,23.782,D5_23,0.017,,,,,,,,,,,,,,,,,,,,
,,23.7868,D5_34,0.028,,,,,,,,,,,,,,,,,,,,
,,23.79016,D5_23,0.038,,,,,,,,,,,,,,,,,,,,
,,23.79048,D5_34,0.013,,,,,,,,,,,,,,,,,,,,
,,23.79136,D5_24,0.009,,,,,,,,,,,,,,,,,,,,
,,23.79312,D5_23,0.034,,,,,,,,,,,,,,,,,,,,
,,23.7944,D5_33,0.023,,,,,,,,,,,,,,,,,,,,
,,23.7952,D5_24,0.017,,,,,,,,,,,,,,,,,,,,
,,23.79544,D5_23,0.054,,,,,,,,,,,,,,,,,,,,
,,23.79816,D5_23,0.017,,,,,,,,,,,,,,,,,,,,
,,23.7984,D5_33,0.019,,,,,,,,,,,,,,,,,,,,
,,23.8004,D5_23,0.037,,,,,,,,,,,,,,,,,,,,
,,23.80128,D5_33,0.016,,,,,,,,,,,,,,,,,,,,
,,23.80304,D5_23,0.021,,,,,,,,,,,,,,,,,,,,
,,23.80432,D5_33,0.017,,,,,,,,,,,,,,,,,,,,
,,23.80544,D5_24,0.013,,,,,,,,,,,,,,,,,,,,
,,23.80576,D5_23,0.025,,,,,,,,,,,,,,,,,,,,
,,23.8072,D5_34,0.012,,,,,,,,,,,,,,,,,,,,
,,23.80832,D5_24,0.009,,,,,,,,,,,,,,,,,,,,
,,23.80848,D5_23,0.031,,,,,,,,,,,,,,,,,,,,
,,23.80888,D5_33,0.023,,,,,,,,,,,,,,,,,,,,
,,23.81088,D5_23,0.033,,,,,,,,,,,,,,,,,,,,
,,23.81272,D5_34,0.031,,,,,,,,,,,,,,,,,,,,
,,23.81344,D5_23,0.034,,,,,,,,,,,,,,,,,,,,
,,23.81432,D5_33,0.026,,,,,,,,,,,,,,,,,,,,
,,23.81496,D5_34,0.017,,,,,,,,,,,,,,,,,,,,
,,23.81616,D5_23,0.032,,,,,,,,,,,,,,,,,,,,
,,23.81664,D5_33,0.018,,,,,,,,,,,,,,,,,,,,
,,23.81752,D5_34,0.019,,,,,,,,,,,,,,,,,,,,
,,23.81864,D5_23,0.027,,,,,,,,,,,,,,,,,,,,
,,23.82136,D5_33,0.02,,,,,,,,,,,,,,,,,,,,
,,23.8216,D5_23,0.024,,,,,,,,,,,,,,,,,,,,
,,23.82168,D5_34,0.011,,,,,,,,,,,,,,,,,,,,
,,23.82408,D5_23,0.032,,,,,,,,,,,,,,,,,,,,
,,23.82416,D5_34,0.03,,,,,,,,,,,,,,,,,,,,
