Investigator,,Time (s),Electrode,Amplitude(mV),,,,,,,,,,,,,,,,,,,,
,,11.62952,B3_31,0.016,,,,,,,,,,,,,,,,,,,,
,,11.65632,B3_31,0.016,,,,,,,,,,,,,,,,,,,,
,,11.68752,A4_24,0.016,,,,,,,,,,,,,,,,,,,,
,,11.74528,B3_31,0.014,,,,,,,,,,,,,,,,,,,,
,,11.80624,A4_23,0.021,,,,,,,,,,,,,,,,,,,,
,,11.83792,A4_23,0.018,,,,,,,,,,,,,,,,,,,,
,,11.84552,C5_43,0.017,,,,,,,,,,,,,,,,,,,,
,,11.89224,A4_23,0.021,,,,,,,,,,,,,,,,,,,,
,,11.9364,B6_42,0.019,,,,,,,,,,,,,,,,,,,,
,,11.93984,D2_33,0.018,,,,,,,,,,,,,,,,,,,,
,,12.08616,A4_43,0.015,,,,,,,,,,,,,,,,,,,,
,,12.10056,B5_11,0.015,,,,,,,,,,,,,,,,,,,,
,,12.40024,B3_11,0.014,,,,,,,,,,,,,,,,,,,,
,,12.44776,A1_44,0.016,,,,,,,,,,,,,,,,,,,,
,,12.79584,B4_34,0.015,,,,,,,,,,,,,,,,,,,,
,,12.98656,A4_23,0.022,,,,,,,,,,,,,,,,,,,,
,,13.05104,B5_13,0.016,,,,,,,,,,,,,,,,,,,,
,,13.14528,B5_23,0.015,,,,,,,,,,,,,,,,,,,,
,,13.19576,B5_11,0.017,,,,,,,,,,,,,,,,,,,,
,,13.35688,B5_23,0.014,,,,,,,,,,,,,,,,,,,,
,,13.53048,B5_23,0.015,,,,,,,,,,,,,,,,,,,,
,,13.56208,B5_13,0.013,,,,,,,,,,,,,,,,,,,,
,,13.98424,C5_13,0.018,,,,,,,,,,,,,,,,,,,,
,,14.00152,B5_31,0.017,,,,,,,,,,,,,,,,,,,,
,,14.07592,B3_31,0.015,,,,,,,,,,,,,,,,,,,,
,,14.13992,B5_13,0.013,,,,,,,,,,,,,,,,,,,,
,,14.22128,B5_31,0.018,,,,,,,,,,,,,,,,,,,,
,,14.2796,B5_13,0.014,,,,,,,,,,,,,,,,,,,,
,,14.29504,B3_31,0.012,,,,,,,,,,,,,,,,,,,,
,,14.3024,B3_12,0.022,,,,,,,,,,,,,,,,,,,,
,,14.33944,B5_31,0.016,,,,,,,,,,,,,,,,,,,,
,,14.402,B3_22,0.016,,,,,,,,,,,,,,,,,,,,
,,14.41296,B5_31,0.016,,,,,,,,,,,,,,,,,,,,
,,14.4588,B5_31,0.017,,,,,,,,,,,,,,,,,,,,
,,14.48752,D3_24,0.013,,,,,,,,,,,,,,,,,,,,
,,14.60696,B5_22,0.019,,,,,,,,,,,,,,,,,,,,
,,14.62744,B5_31,0.016,,,,,,,,,,,,,,,,,,,,
,,14.72288,A1_43,0.013,,,,,,,,,,,,,,,,,,,,
,,14.75032,C5_22,0.017,,,,,,,,,,,,,,,,,,,,
,,14.81232,A4_23,0.032,,,,,,,,,,,,,,,,,,,,
,,14.91688,B5_22,0.018,,,,,,,,,,,,,,,,,,,,
,,14.98808,A4_23,0.017,,,,,,,,,,,,,,,,,,,,
,,15.07152,C4_34,0.013,,,,,,,,,,,,,,,,,,,,
,,15.09616,D2_24,0.015,,,,,,,,,,,,,,,,,,,,
,,15.29568,B5_22,0.018,,,,,,,,,,,,,,,,,,,,
,,15.4128,A6_34,0.019,,,,,,,,,,,,,,,,,,,,
,,15.4604,C1_43,0.014,,,,,,,,,,,,,,,,,,,,
,,15.46152,A4_23,0.02,,,,,,,,,,,,,,,,,,,,
,,15.55824,A4_23,0.03,,,,,,,,,,,,,,,,,,,,
,,15.70304,D5_43,0.011,,,,,,,,,,,,,,,,,,,,
,,15.7256,B3_12,0.025,,,,,,,,,,,,,,,,,,,,
,,15.72592,A4_23,0.018,,,,,,,,,,,,,,,,,,,,
,,15.79144,C5_22,0.016,,,,,,,,,,,,,,,,,,,,
,,15.82208,B5_22,0.018,,,,,,,,,,,,,,,,,,,,
,,16.39272,A4_23,0.018,,,,,,,,,,,,,,,,,,,,
,,16.45208,D6_32,0.015,,,,,,,,,,,,,,,,,,,,
,,16.49112,C5_22,0.015,,,,,,,,,,,,,,,,,,,,
,,16.51112,C5_13,0.018,,,,,,,,,,,,,,,,,,,,
,,16.59864,D6_32,0.02,,,,,,,,,,,,,,,,,,,,
,,16.60096,B5_21,0.015,,,,,,,,,,,,,,,,,,,,
,,16.60144,C4_33,0.029,,,,,,,,,,,,,,,,,,,,
,,16.61368,C6_34,0.041,,,,,,,,,,,,,,,,,,,,
,,16.64392,A6_34,0.017,,,,,,,,,,,,,,,,,,,,
,,16.70616,C5_33,0.019,,,,,,,,,,,,,,,,,,,,
,,16.70816,B6_44,0.019,,,,,,,,,,,,,,,,,,,,
,,16.71264,A6_34,0.015,,,,,,,,,,,,,,,,,,,,
