Investigator,,Time (s),Electrode,Amplitude(mV),,,,,,,,,,,,,,,,,,,,
,,520.01808,B6_43,0.021,,,,,,,,,,,,,,,,,,,,
,,520.20312,B3_12,0.019,,,,,,,,,,,,,,,,,,,,
,,520.31056,A4_24,0.015,,,,,,,,,,,,,,,,,,,,
,,520.3152,B6_24,0.022,,,,,,,,,,,,,,,,,,,,
,,520.33112,A4_23,0.03,,,,,,,,,,,,,,,,,,,,
,,520.43656,A4_24,0.016,,,,,,,,,,,,,,,,,,,,
,,520.4844,C5_22,0.016,,,,,,,,,,,,,,,,,,,,
,,520.48832,B5_11,0.019,,,,,,,,,,,,,,,,,,,,
,,520.51352,A4_24,0.021,,,,,,,,,,,,,,,,,,,,
,,520.62592,A4_23,0.028,,,,,,,,,,,,,,,,,,,,
,,520.7056,B5_11,0.014,,,,,,,,,,,,,,,,,,,,
,,520.74424,A4_23,0.029,,,,,,,,,,,,,,,,,,,,
,,521.02832,B5_13,0.014,,,,,,,,,,,,,,,,,,,,
,,521.05864,A4_43,0.018,,,,,,,,,,,,,,,,,,,,
,,521.28144,B5_13,0.013,,,,,,,,,,,,,,,,,,,,
,,521.33768,C5_14,0.02,,,,,,,,,,,,,,,,,,,,
,,521.35136,B3_12,0.021,,,,,,,,,,,,,,,,,,,,
,,521.37232,C5_33,0.019,,,,,,,,,,,,,,,,,,,,
,,521.42728,C5_33,0.018,,,,,,,,,,,,,,,,,,,,
,,521.456,B6_24,0.017,,,,,,,,,,,,,,,,,,,,
,,521.45688,C5_23,0.016,,,,,,,,,,,,,,,,,,,,
,,521.48608,C5_33,0.016,,,,,,,,,,,,,,,,,,,,
,,521.5648,B5_13,0.013,,,,,,,,,,,,,,,,,,,,
,,521.62672,B5_22,0.014,,,,,,,,,,,,,,,,,,,,
,,521.63528,C5_33,0.017,,,,,,,,,,,,,,,,,,,,
,,521.76288,B6_23,0.025,,,,,,,,,,,,,,,,,,,,
,,521.86016,C5_33,0.02,,,,,,,,,,,,,,,,,,,,
,,521.8892,C5_22,0.016,,,,,,,,,,,,,,,,,,,,
,,521.90608,B6_23,0.024,,,,,,,,,,,,,,,,,,,,
,,521.9392,C4_33,0.02,,,,,,,,,,,,,,,,,,,,
,,522.01864,B5_13,0.015,,,,,,,,,,,,,,,,,,,,
,,522.06576,B3_12,0.018,,,,,,,,,,,,,,,,,,,,
,,522.07552,C4_33,0.02,,,,,,,,,,,,,,,,,,,,
,,522.09544,A4_23,0.028,,,,,,,,,,,,,,,,,,,,
,,522.16192,C3_42,0.017,,,,,,,,,,,,,,,,,,,,
,,522.21992,C5_33,0.02,,,,,,,,,,,,,,,,,,,,
,,522.29704,A4_24,0.013,,,,,,,,,,,,,,,,,,,,
,,522.47816,C5_13,0.02,,,,,,,,,,,,,,,,,,,,
,,522.58448,C5_22,0.018,,,,,,,,,,,,,,,,,,,,
,,522.64616,C5_33,0.017,,,,,,,,,,,,,,,,,,,,
,,522.7384,B6_24,0.016,,,,,,,,,,,,,,,,,,,,
,,522.76008,A4_23,0.019,,,,,,,,,,,,,,,,,,,,
,,522.77944,B3_12,0.018,,,,,,,,,,,,,,,,,,,,
,,522.78064,C5_22,0.017,,,,,,,,,,,,,,,,,,,,
,,523.02,C5_14,0.018,,,,,,,,,,,,,,,,,,,,
,,523.02912,C6_44,0.021,,,,,,,,,,,,,,,,,,,,
,,523.06736,A1_44,0.015,,,,,,,,,,,,,,,,,,,,
,,523.17056,C5_33,0.021,,,,,,,,,,,,,,,,,,,,
,,523.22656,C1_33,0.017,,,,,,,,,,,,,,,,,,,,
,,523.4476,B6_23,0.021,,,,,,,,,,,,,,,,,,,,
,,523.45592,D6_32,0.017,,,,,,,,,,,,,,,,,,,,
,,523.66576,B5_22,0.015,,,,,,,,,,,,,,,,,,,,
,,523.7288,B3_12,0.016,,,,,,,,,,,,,,,,,,,,
,,523.75352,B5_22,0.018,,,,,,,,,,,,,,,,,,,,
,,523.97192,D2_34,0.017,,,,,,,,,,,,,,,,,,,,
,,524.20368,D2_33,0.02,,,,,,,,,,,,,,,,,,,,
,,524.25672,B3_12,0.018,,,,,,,,,,,,,,,,,,,,
,,524.4412,B6_23,0.027,,,,,,,,,,,,,,,,,,,,
,,524.45872,C6_34,0.023,,,,,,,,,,,,,,,,,,,,
,,524.4636,B6_42,0.021,,,,,,,,,,,,,,,,,,,,
,,524.50984,C6_24,0.012,,,,,,,,,,,,,,,,,,,,
,,524.54952,C4_33,0.02,,,,,,,,,,,,,,,,,,,,
,,524.7396,C1_43,0.015,,,,,,,,,,,,,,,,,,,,
,,524.75256,B5_22,0.017,,,,,,,,,,,,,,,,,,,,
,,524.77544,A4_14,0.014,,,,,,,,,,,,,,,,,,,,
,,524.8528,A4_23,0.02,,,,,,,,,,,,,,,,,,,,
,,524.89008,C4_33,0.02,,,,,,,,,,,,,,,,,,,,
,,524.9016,C4_33,0.018,,,,,,,,,,,,,,,,,,,,
,,524.9088,B3_12,0.021,,,,,,,,,,,,,,,,,,,,
,,525.01704,C1_43,0.012,,,,,,,,,,,,,,,,,,,,
,,525.08864,A4_23,0.028,,,,,,,,,,,,,,,,,,,,
,,525.21248,A2_34,0.02,,,,,,,,,,,,,,,,,,,,
,,525.24488,B5_22,0.016,,,,,,,,,,,,,,,,,,,,
,,525.3168,A1_44,0.013,,,,,,,,,,,,,,,,,,,,
,,525.32888,C3_42,0.015,,,,,,,,,,,,,,,,,,,,
,,525.42976,A4_23,0.021,,,,,,,,,,,,,,,,,,,,
,,525.59632,C4_33,0.024,,,,,,,,,,,,,,,,,,,,
,,525.70784,C4_33,0.021,,,,,,,,,,,,,,,,,,,,
,,525.7764,A2_14,0.017,,,,,,,,,,,,,,,,,,,,
,,525.83792,C5_22,0.017,,,,,,,,,,,,,,,,,,,,
,,525.95256,B6_24,0.015,,,,,,,,,,,,,,,,,,,,
,,525.97864,B5_23,0.015,,,,,,,,,,,,,,,,,,,,
,,526.01624,C6_44,0.026,,,,,,,,,,,,,,,,,,,,
,,526.10016,B6_24,0.015,,,,,,,,,,,,,,,,,,,,
,,526.25968,D2_34,0.017,,,,,,,,,,,,,,,,,,,,
,,526.37016,A4_23,0.02,,,,,,,,,,,,,,,,,,,,
,,526.44136,C5_33,0.017,,,,,,,,,,,,,,,,,,,,
,,526.51464,D5_44,0.014,,,,,,,,,,,,,,,,,,,,
,,526.52288,B5_23,0.014,,,,,,,,,,,,,,,,,,,,
,,526.5676,C1_33,0.016,,,,,,,,,,,,,,,,,,,,
,,526.64656,B3_12,0.021,,,,,,,,,,,,,,,,,,,,
,,526.8556,B5_23,0.015,,,,,,,,,,,,,,,,,,,,
,,527.06424,D5_44,0.015,,,,,,,,,,,,,,,,,,,,
,,527.174,D5_44,0.015,,,,,,,,,,,,,,,,,,,,
,,527.25184,B5_11,0.016,,,,,,,,,,,,,,,,,,,,
,,527.33008,A4_23,0.018,,,,,,,,,,,,,,,,,,,,
,,527.3492,A1_42,0.023,,,,,,,,,,,,,,,,,,,,
,,527.36168,A1_44,0.013,,,,,,,,,,,,,,,,,,,,
,,527.5468,A1_42,0.024,,,,,,,,,,,,,,,,,,,,
,,527.56728,C5_33,0.017,,,,,,,,,,,,,,,,,,,,
,,527.68392,C5_22,0.017,,,,,,,,,,,,,,,,,,,,
,,527.79536,B3_12,0.019,,,,,,,,,,,,,,,,,,,,
,,527.8348,C4_33,0.02,,,,,,,,,,,,,,,,,,,,
,,527.86392,B6_24,0.017,,,,,,,,,,,,,,,,,,,,
,,528.04,A4_23,0.02,,,,,,,,,,,,,,,,,,,,
,,528.04128,C5_22,0.019,,,,,,,,,,,,,,,,,,,,
,,528.04344,C4_33,0.018,,,,,,,,,,,,,,,,,,,,
,,528.05928,D2_13,0.021,,,,,,,,,,,,,,,,,,,,
,,528.22456,D2_13,0.019,,,,,,,,,,,,,,,,,,,,
,,528.24728,B5_22,0.02,,,,,,,,,,,,,,,,,,,,
,,528.34256,D2_13,0.017,,,,,,,,,,,,,,,,,,,,
,,528.35848,A4_23,0.023,,,,,,,,,,,,,,,,,,,,
,,528.48416,C5_22,0.015,,,,,,,,,,,,,,,,,,,,
,,528.54128,B6_24,0.014,,,,,,,,,,,,,,,,,,,,
,,528.60216,D2_34,0.017,,,,,,,,,,,,,,,,,,,,
,,528.92272,B3_12,0.019,,,,,,,,,,,,,,,,,,,,
,,528.93688,B6_24,0.016,,,,,,,,,,,,,,,,,,,,
,,528.98216,B5_13,0.015,,,,,,,,,,,,,,,,,,,,
,,528.98864,A4_23,0.02,,,,,,,,,,,,,,,,,,,,
,,529.05552,C5_22,0.019,,,,,,,,,,,,,,,,,,,,
,,529.13728,C5_33,0.017,,,,,,,,,,,,,,,,,,,,
,,529.29616,C1_34,0.015,,,,,,,,,,,,,,,,,,,,
,,529.40928,C5_22,0.015,,,,,,,,,,,,,,,,,,,,
,,529.4656,C2_33,0.027,,,,,,,,,,,,,,,,,,,,
,,529.47648,A1_44,0.012,,,,,,,,,,,,,,,,,,,,
,,529.54224,C4_33,0.019,,,,,,,,,,,,,,,,,,,,
,,529.62824,B3_11,0.02,,,,,,,,,,,,,,,,,,,,
,,529.82624,B3_12,0.02,,,,,,,,,,,,,,,,,,,,
,,529.85352,C5_13,0.017,,,,,,,,,,,,,,,,,,,,
,,529.90624,C2_33,0.02,,,,,,,,,,,,,,,,,,,,
,,529.92264,A4_34,0.013,,,,,,,,,,,,,,,,,,,,
,,529.97848,C4_33,0.017,,,,,,,,,,,,,,,,,,,,
,,530.00512,C4_33,0.018,,,,,,,,,,,,,,,,,,,,
,,530.01368,C2_33,0.021,,,,,,,,,,,,,,,,,,,,
,,530.06688,C4_33,0.016,,,,,,,,,,,,,,,,,,,,
,,530.12504,C2_33,0.019,,,,,,,,,,,,,,,,,,,,
,,530.2868,A6_34,0.022,,,,,,,,,,,,,,,,,,,,
,,530.34656,C4_33,0.02,,,,,,,,,,,,,,,,,,,,
,,530.41128,D2_13,0.021,,,,,,,,,,,,,,,,,,,,
,,530.49064,C5_14,0.02,,,,,,,,,,,,,,,,,,,,
,,530.56392,C2_33,0.023,,,,,,,,,,,,,,,,,,,,
,,530.64328,A4_23,0.016,,,,,,,,,,,,,,,,,,,,
,,530.81,A6_34,0.024,,,,,,,,,,,,,,,,,,,,
,,530.81976,D2_13,0.017,,,,,,,,,,,,,,,,,,,,
,,530.90592,C2_33,0.021,,,,,,,,,,,,,,,,,,,,
,,530.92936,C5_33,0.016,,,,,,,,,,,,,,,,,,,,
,,530.99192,C5_33,0.018,,,,,,,,,,,,,,,,,,,,
,,531.01256,C3_44,0.015,,,,,,,,,,,,,,,,,,,,
,,531.07912,C5_33,0.018,,,,,,,,,,,,,,,,,,,,
,,531.15752,C5_33,0.024,,,,,,,,,,,,,,,,,,,,
,,531.2304,B3_12,0.017,,,,,,,,,,,,,,,,,,,,
,,531.2876,B5_22,0.014,,,,,,,,,,,,,,,,,,,,
,,531.36832,A6_34,0.017,,,,,,,,,,,,,,,,,,,,
,,531.38504,C2_33,0.021,,,,,,,,,,,,,,,,,,,,
,,531.44272,B5_22,0.016,,,,,,,,,,,,,,,,,,,,
,,531.51632,B3_22,0.016,,,,,,,,,,,,,,,,,,,,
,,531.5388,C2_33,0.017,,,,,,,,,,,,,,,,,,,,
,,531.5548,B5_22,0.022,,,,,,,,,,,,,,,,,,,,
,,531.5864,C4_33,0.019,,,,,,,,,,,,,,,,,,,,
,,531.60408,C5_22,0.015,,,,,,,,,,,,,,,,,,,,
,,531.63328,C2_33,0.017,,,,,,,,,,,,,,,,,,,,
,,531.65128,D2_13,0.018,,,,,,,,,,,,,,,,,,,,
,,531.72736,B5_33,0.015,,,,,,,,,,,,,,,,,,,,
,,531.75744,C2_33,0.018,,,,,,,,,,,,,,,,,,,,
,,531.8928,C2_33,0.02,,,,,,,,,,,,,,,,,,,,
,,532.01296,C2_33,0.029,,,,,,,,,,,,,,,,,,,,
,,532.09448,C5_14,0.02,,,,,,,,,,,,,,,,,,,,
,,532.14656,C3_34,0.019,,,,,,,,,,,,,,,,,,,,
,,532.2132,A6_34,0.02,,,,,,,,,,,,,,,,,,,,
,,532.3352,B3_11,0.014,,,,,,,,,,,,,,,,,,,,
,,532.35888,B5_22,0.015,,,,,,,,,,,,,,,,,,,,
,,532.39368,D2_34,0.015,,,,,,,,,,,,,,,,,,,,
,,532.40392,C3_34,0.013,,,,,,,,,,,,,,,,,,,,
,,532.51312,C4_33,0.024,,,,,,,,,,,,,,,,,,,,
,,532.53248,C5_33,0.02,,,,,,,,,,,,,,,,,,,,
,,532.56952,C4_33,0.02,,,,,,,,,,,,,,,,,,,,
,,532.6088,C5_33,0.019,,,,,,,,,,,,,,,,,,,,
,,532.65896,A4_23,0.027,,,,,,,,,,,,,,,,,,,,
,,532.6636,C4_33,0.019,,,,,,,,,,,,,,,,,,,,
,,532.66728,B5_22,0.015,,,,,,,,,,,,,,,,,,,,
,,532.66896,C6_44,0.018,,,,,,,,,,,,,,,,,,,,
,,532.69664,A6_34,0.023,,,,,,,,,,,,,,,,,,,,
,,532.73344,C1_33,0.018,,,,,,,,,,,,,,,,,,,,
,,532.73992,C5_33,0.019,,,,,,,,,,,,,,,,,,,,
,,532.82872,C5_33,0.016,,,,,,,,,,,,,,,,,,,,
,,532.84296,A4_23,0.029,,,,,,,,,,,,,,,,,,,,
,,532.92136,C5_33,0.017,,,,,,,,,,,,,,,,,,,,
,,532.97776,A4_23,0.018,,,,,,,,,,,,,,,,,,,,
,,533.02616,C4_33,0.02,,,,,,,,,,,,,,,,,,,,
,,533.05552,C5_33,0.022,,,,,,,,,,,,,,,,,,,,
,,533.07312,C4_33,0.023,,,,,,,,,,,,,,,,,,,,
,,533.12848,B5_22,0.016,,,,,,,,,,,,,,,,,,,,
,,533.13576,C4_33,0.021,,,,,,,,,,,,,,,,,,,,
,,533.23472,C4_33,0.02,,,,,,,,,,,,,,,,,,,,
,,533.24808,C4_33,0.024,,,,,,,,,,,,,,,,,,,,
,,533.37136,A4_14,0.01,,,,,,,,,,,,,,,,,,,,
,,533.41336,C4_33,0.019,,,,,,,,,,,,,,,,,,,,
,,533.45664,B5_22,0.015,,,,,,,,,,,,,,,,,,,,
,,533.52336,D2_34,0.021,,,,,,,,,,,,,,,,,,,,
,,533.72416,B6_43,0.018,,,,,,,,,,,,,,,,,,,,
,,533.84176,A1_44,0.014,,,,,,,,,,,,,,,,,,,,
,,533.99216,C4_33,0.019,,,,,,,,,,,,,,,,,,,,
,,534.38608,A1_44,0.016,,,,,,,,,,,,,,,,,,,,
,,534.42352,B4_34,0.012,,,,,,,,,,,,,,,,,,,,
,,534.52384,C5_33,0.016,,,,,,,,,,,,,,,,,,,,
,,534.62744,C3_34,0.016,,,,,,,,,,,,,,,,,,,,
,,534.64856,B6_24,0.016,,,,,,,,,,,,,,,,,,,,
,,534.73432,B6_24,0.015,,,,,,,,,,,,,,,,,,,,
,,534.7404,B3_12,0.023,,,,,,,,,,,,,,,,,,,,
,,534.74824,A4_23,0.019,,,,,,,,,,,,,,,,,,,,
,,534.75912,D5_44,0.015,,,,,,,,,,,,,,,,,,,,
,,534.84872,C5_33,0.017,,,,,,,,,,,,,,,,,,,,
,,534.8536,A1_44,0.014,,,,,,,,,,,,,,,,,,,,
,,534.96152,A4_23,0.019,,,,,,,,,,,,,,,,,,,,
,,535.0192,C6_44,0.024,,,,,,,,,,,,,,,,,,,,
,,535.12568,B3_11,0.016,,,,,,,,,,,,,,,,,,,,
,,535.16368,B6_43,0.018,,,,,,,,,,,,,,,,,,,,
,,535.17816,C3_42,0.016,,,,,,,,,,,,,,,,,,,,
,,535.25696,C5_22,0.016,,,,,,,,,,,,,,,,,,,,
,,535.30664,A4_23,0.02,,,,,,,,,,,,,,,,,,,,
,,535.34352,C5_33,0.017,,,,,,,,,,,,,,,,,,,,
,,535.35264,D2_33,0.015,,,,,,,,,,,,,,,,,,,,
,,535.36248,C5_22,0.016,,,,,,,,,,,,,,,,,,,,
,,535.45216,C1_34,0.016,,,,,,,,,,,,,,,,,,,,
,,535.49864,B3_11,0.017,,,,,,,,,,,,,,,,,,,,
,,535.49992,B3_12,0.019,,,,,,,,,,,,,,,,,,,,
,,535.50488,C5_22,0.015,,,,,,,,,,,,,,,,,,,,
,,535.65208,A6_34,0.018,,,,,,,,,,,,,,,,,,,,
,,535.6884,D6_32,0.013,,,,,,,,,,,,,,,,,,,,
,,535.76088,A4_23,0.017,,,,,,,,,,,,,,,,,,,,
,,535.82112,C5_33,0.017,,,,,,,,,,,,,,,,,,,,
,,535.8372,B3_12,0.022,,,,,,,,,,,,,,,,,,,,
,,535.8516,B5_22,0.014,,,,,,,,,,,,,,,,,,,,
,,535.86312,A4_23,0.029,,,,,,,,,,,,,,,,,,,,
,,536.05848,A4_23,0.026,,,,,,,,,,,,,,,,,,,,
,,536.20376,D2_13,0.02,,,,,,,,,,,,,,,,,,,,
,,536.2424,C5_33,0.017,,,,,,,,,,,,,,,,,,,,
,,536.29896,A4_14,0.011,,,,,,,,,,,,,,,,,,,,
,,536.38224,D2_33,0.025,,,,,,,,,,,,,,,,,,,,
,,536.40496,A4_43,0.017,,,,,,,,,,,,,,,,,,,,
,,536.7152,C4_33,0.018,,,,,,,,,,,,,,,,,,,,
,,536.76808,B3_12,0.021,,,,,,,,,,,,,,,,,,,,
,,536.84664,A4_23,0.027,,,,,,,,,,,,,,,,,,,,
,,536.8492,B5_13,0.019,,,,,,,,,,,,,,,,,,,,
,,536.89184,A4_23,0.02,,,,,,,,,,,,,,,,,,,,
,,537.01144,C5_33,0.018,,,,,,,,,,,,,,,,,,,,
,,537.14488,A4_23,0.027,,,,,,,,,,,,,,,,,,,,
,,537.29336,A4_34,0.014,,,,,,,,,,,,,,,,,,,,
,,537.33712,B5_22,0.017,,,,,,,,,,,,,,,,,,,,
,,537.41168,B5_31,0.014,,,,,,,,,,,,,,,,,,,,
,,537.42208,B6_43,0.019,,,,,,,,,,,,,,,,,,,,
,,537.45296,B3_12,0.02,,,,,,,,,,,,,,,,,,,,
,,537.47792,B3_11,0.013,,,,,,,,,,,,,,,,,,,,
,,537.50576,B5_13,0.013,,,,,,,,,,,,,,,,,,,,
,,537.51384,D2_33,0.026,,,,,,,,,,,,,,,,,,,,
,,537.54616,B5_31,0.016,,,,,,,,,,,,,,,,,,,,
,,537.66064,D2_34,0.02,,,,,,,,,,,,,,,,,,,,
,,537.68152,D2_33,0.029,,,,,,,,,,,,,,,,,,,,
,,537.70632,A4_23,0.026,,,,,,,,,,,,,,,,,,,,
,,537.73024,B5_31,0.018,,,,,,,,,,,,,,,,,,,,
,,537.77728,B3_12,0.013,,,,,,,,,,,,,,,,,,,,
,,537.81888,B5_31,0.014,,,,,,,,,,,,,,,,,,,,
,,537.87056,B4_43,0.017,,,,,,,,,,,,,,,,,,,,
,,537.94752,B5_13,0.015,,,,,,,,,,,,,,,,,,,,
,,537.95544,C4_33,0.018,,,,,,,,,,,,,,,,,,,,
,,537.95544,C5_33,0.02,,,,,,,,,,,,,,,,,,,,
,,538.09992,D3_34,0.015,,,,,,,,,,,,,,,,,,,,
,,538.4864,B5_23,0.017,,,,,,,,,,,,,,,,,,,,
,,538.50528,B4_24,0.013,,,,,,,,,,,,,,,,,,,,
,,538.63728,B3_12,0.02,,,,,,,,,,,,,,,,,,,,
,,538.75792,D2_33,0.03,,,,,,,,,,,,,,,,,,,,
,,538.81216,A1_44,0.012,,,,,,,,,,,,,,,,,,,,
,,539.02032,B6_43,0.018,,,,,,,,,,,,,,,,,,,,
,,539.05776,B5_23,0.017,,,,,,,,,,,,,,,,,,,,
,,539.27144,B3_12,0.021,,,,,,,,,,,,,,,,,,,,
,,539.32424,A1_42,0.015,,,,,,,,,,,,,,,,,,,,
,,539.5992,A4_23,0.03,,,,,,,,,,,,,,,,,,,,
,,539.66912,A4_34,0.015,,,,,,,,,,,,,,,,,,,,
,,539.68096,B5_21,0.016,,,,,,,,,,,,,,,,,,,,
,,539.7252,B5_21,0.018,,,,,,,,,,,,,,,,,,,,
,,539.78504,B5_21,0.016,,,,,,,,,,,,,,,,,,,,
,,539.83328,A4_24,0.016,,,,,,,,,,,,,,,,,,,,
,,539.9164,B5_21,0.018,,,,,,,,,,,,,,,,,,,,
,,540.00816,C3_33,0.018,,,,,,,,,,,,,,,,,,,,
,,540.15048,C1_43,0.014,,,,,,,,,,,,,,,,,,,,
,,540.21352,A4_24,0.015,,,,,,,,,,,,,,,,,,,,
,,540.22048,B5_32,0.017,,,,,,,,,,,,,,,,,,,,
,,540.2288,B6_44,0.017,,,,,,,,,,,,,,,,,,,,
,,540.24568,D2_13,0.018,,,,,,,,,,,,,,,,,,,,
,,540.2824,C3_33,0.015,,,,,,,,,,,,,,,,,,,,
,,540.3,B3_12,0.021,,,,,,,,,,,,,,,,,,,,
,,540.33592,B5_31,0.017,,,,,,,,,,,,,,,,,,,,
,,540.3968,A4_23,0.018,,,,,,,,,,,,,,,,,,,,
,,540.40664,A4_24,0.016,,,,,,,,,,,,,,,,,,,,
,,540.44112,C6_44,0.019,,,,,,,,,,,,,,,,,,,,
,,540.51528,B6_23,0.038,,,,,,,,,,,,,,,,,,,,
,,540.5532,A4_24,0.016,,,,,,,,,,,,,,,,,,,,
,,540.61032,D2_34,0.015,,,,,,,,,,,,,,,,,,,,
,,540.71808,A4_24,0.017,,,,,,,,,,,,,,,,,,,,
,,540.75936,C5_33,0.015,,,,,,,,,,,,,,,,,,,,
,,540.7616,D2_33,0.021,,,,,,,,,,,,,,,,,,,,
,,540.79008,A4_24,0.016,,,,,,,,,,,,,,,,,,,,
,,540.91432,B6_23,0.024,,,,,,,,,,,,,,,,,,,,
,,540.92544,A4_24,0.016,,,,,,,,,,,,,,,,,,,,
,,540.93448,C5_33,0.016,,,,,,,,,,,,,,,,,,,,
,,540.99696,A4_24,0.017,,,,,,,,,,,,,,,,,,,,
,,541.02616,C5_33,0.013,,,,,,,,,,,,,,,,,,,,
,,541.05456,C5_33,0.015,,,,,,,,,,,,,,,,,,,,
,,541.09088,B3_12,0.021,,,,,,,,,,,,,,,,,,,,
,,541.13136,D2_33,0.022,,,,,,,,,,,,,,,,,,,,
,,541.16432,A4_23,0.02,,,,,,,,,,,,,,,,,,,,
,,541.24336,A6_34,0.028,,,,,,,,,,,,,,,,,,,,
,,541.24696,C5_33,0.013,,,,,,,,,,,,,,,,,,,,
,,541.3292,A4_24,0.017,,,,,,,,,,,,,,,,,,,,
,,541.35064,A4_43,0.018,,,,,,,,,,,,,,,,,,,,
,,541.37872,A6_34,0.034,,,,,,,,,,,,,,,,,,,,
,,541.37912,B5_22,0.015,,,,,,,,,,,,,,,,,,,,
,,541.39856,B5_13,0.013,,,,,,,,,,,,,,,,,,,,
,,541.45928,A4_24,0.014,,,,,,,,,,,,,,,,,,,,
,,541.48312,A6_34,0.025,,,,,,,,,,,,,,,,,,,,
,,541.5988,B3_12,0.019,,,,,,,,,,,,,,,,,,,,
,,541.65712,A6_34,0.023,,,,,,,,,,,,,,,,,,,,
,,541.67128,B5_22,0.017,,,,,,,,,,,,,,,,,,,,
,,541.75032,B6_23,0.036,,,,,,,,,,,,,,,,,,,,
,,541.77664,D2_33,0.024,,,,,,,,,,,,,,,,,,,,
,,541.79072,C5_33,0.021,,,,,,,,,,,,,,,,,,,,
,,541.94624,A4_24,0.019,,,,,,,,,,,,,,,,,,,,
,,542.01824,D2_33,0.026,,,,,,,,,,,,,,,,,,,,
,,542.10704,D2_13,0.019,,,,,,,,,,,,,,,,,,,,
,,542.15304,B3_12,0.021,,,,,,,,,,,,,,,,,,,,
,,542.17224,A1_44,0.017,,,,,,,,,,,,,,,,,,,,
,,542.22192,C5_23,0.018,,,,,,,,,,,,,,,,,,,,
,,542.2272,D2_33,0.028,,,,,,,,,,,,,,,,,,,,
,,542.31168,D2_33,0.021,,,,,,,,,,,,,,,,,,,,
,,542.37824,A2_14,0.017,,,,,,,,,,,,,,,,,,,,
,,542.43928,A4_23,0.018,,,,,,,,,,,,,,,,,,,,
,,542.48976,A4_23,0.016,,,,,,,,,,,,,,,,,,,,
,,542.53216,A4_23,0.019,,,,,,,,,,,,,,,,,,,,
,,542.55976,C4_33,0.017,,,,,,,,,,,,,,,,,,,,
,,542.81392,B5_21,0.017,,,,,,,,,,,,,,,,,,,,
,,542.88336,A1_44,0.012,,,,,,,,,,,,,,,,,,,,
,,542.92552,B5_22,0.016,,,,,,,,,,,,,,,,,,,,
,,543.04608,B5_22,0.015,,,,,,,,,,,,,,,,,,,,
,,543.05456,D6_32,0.017,,,,,,,,,,,,,,,,,,,,
,,543.13944,A4_23,0.017,,,,,,,,,,,,,,,,,,,,
,,543.1864,C4_24,0.016,,,,,,,,,,,,,,,,,,,,
,,543.19176,A4_23,0.016,,,,,,,,,,,,,,,,,,,,
,,543.216,B3_12,0.021,,,,,,,,,,,,,,,,,,,,
,,543.23016,B5_22,0.017,,,,,,,,,,,,,,,,,,,,
,,543.23568,A1_42,0.025,,,,,,,,,,,,,,,,,,,,
,,543.31688,C4_33,0.021,,,,,,,,,,,,,,,,,,,,
,,543.36456,C1_34,0.016,,,,,,,,,,,,,,,,,,,,
,,543.73496,C4_33,0.016,,,,,,,,,,,,,,,,,,,,
,,543.74608,D5_44,0.012,,,,,,,,,,,,,,,,,,,,
,,543.92728,A4_23,0.021,,,,,,,,,,,,,,,,,,,,
,,543.96392,D5_44,0.015,,,,,,,,,,,,,,,,,,,,
,,544.0096,A3_22,0.013,,,,,,,,,,,,,,,,,,,,
,,544.03296,B6_42,0.018,,,,,,,,,,,,,,,,,,,,
,,544.04008,A4_23,0.027,,,,,,,,,,,,,,,,,,,,
,,544.16112,C5_33,0.021,,,,,,,,,,,,,,,,,,,,
,,544.22416,B3_12,0.023,,,,,,,,,,,,,,,,,,,,
,,544.278,C4_33,0.02,,,,,,,,,,,,,,,,,,,,
,,544.31312,B5_13,0.02,,,,,,,,,,,,,,,,,,,,
,,544.34816,B5_11,0.016,,,,,,,,,,,,,,,,,,,,
,,544.35064,A4_23,0.026,,,,,,,,,,,,,,,,,,,,
,,544.352,D2_33,0.017,,,,,,,,,,,,,,,,,,,,
,,544.49744,C5_43,0.017,,,,,,,,,,,,,,,,,,,,
,,544.66304,A4_23,0.02,,,,,,,,,,,,,,,,,,,,
,,544.84304,C5_33,0.014,,,,,,,,,,,,,,,,,,,,
,,544.89032,B5_33,0.013,,,,,,,,,,,,,,,,,,,,
,,544.99768,B3_12,0.02,,,,,,,,,,,,,,,,,,,,
,,545.0048,C5_33,0.016,,,,,,,,,,,,,,,,,,,,
,,545.06336,C6_33,0.017,,,,,,,,,,,,,,,,,,,,
,,545.07496,B4_34,0.016,,,,,,,,,,,,,,,,,,,,
,,545.09368,B6_24,0.014,,,,,,,,,,,,,,,,,,,,
,,545.1404,A1_42,0.032,,,,,,,,,,,,,,,,,,,,
,,545.16112,B5_33,0.012,,,,,,,,,,,,,,,,,,,,
,,545.19768,C4_33,0.022,,,,,,,,,,,,,,,,,,,,
,,545.2152,C5_43,0.017,,,,,,,,,,,,,,,,,,,,
,,545.23888,B5_33,0.015,,,,,,,,,,,,,,,,,,,,
,,545.27584,B5_21,0.014,,,,,,,,,,,,,,,,,,,,
,,545.2984,B5_33,0.015,,,,,,,,,,,,,,,,,,,,
,,545.31536,B5_21,0.02,,,,,,,,,,,,,,,,,,,,
,,545.31696,B6_24,0.013,,,,,,,,,,,,,,,,,,,,
,,545.38976,B6_24,0.014,,,,,,,,,,,,,,,,,,,,
,,545.41736,B5_21,0.018,,,,,,,,,,,,,,,,,,,,
,,545.53608,A4_43,0.016,,,,,,,,,,,,,,,,,,,,
