Investigator,Ghislaine,Time (s),Electrode,Amplitude(mV)
,,00006.295600,D1_33,0.091
,,00006.308000,C6_42,0.019
,,00006.308880,D1_23,0.021
,,00006.311840,A1_21,0.021
,,00006.312880,B3_34,0.03
,,00006.334720,B6_11,0.03
,,00006.342640,A5_44,0.023
,,00006.348000,A4_33,0.02
,,00006.360960,C6_31,0.032
,,00006.366240,B4_44,0.03
,,00006.382480,C6_31,0.028
,,00006.396640,C4_22,0.05
,,00006.464240,C6_42,0.019
,,00006.471600,C4_42,0.022
,,00006.508880,A2_31,0.019
,,00006.554560,D4_33,0.021
,,00006.579840,A1_32,0.034
,,00006.580000,B1_31,0.036
,,00006.606560,A2_11,0.018
,,00006.609680,D1_24,0.014
,,00006.616320,A4_11,0.042
,,00006.618640,D1_33,0.037
,,00006.623120,B5_33,0.102
,,00006.626560,B5_33,0.014
,,00006.638880,C6_44,0.028
,,00006.649440,B1_31,0.032
,,00006.687440,B5_22,0.027
,,00006.688080,B5_23,0.047
,,00006.690000,D1_34,0.018
,,00006.713360,D6_43,0.02
,,00006.714320,D1_22,0.021
,,00006.727920,D1_44,0.012
,,00006.728800,B3_42,0.022
,,00006.756480,D4_42,0.02
,,00006.763040,D1_23,0.022
,,00006.768240,C6_21,0.014
,,00006.769920,D1_33,0.037
,,00006.774880,B1_42,0.018
,,00006.819120,A3_33,0.021
,,00006.821360,C1_44,0.026
,,00006.827600,D2_31,0.023
,,00006.860480,A3_33,0.024
,,00006.908080,A4_44,0.03
,,00006.933520,A3_32,0.027
,,00006.952560,C6_31,0.021
,,00006.971440,B5_32,0.042
,,00006.997280,B5_32,0.034
,,00007.006320,C6_43,0.029
,,00007.029200,B5_32,0.033
,,00007.037840,A2_11,0.018
,,00007.057200,C5_33,0.025
,,00007.074160,D6_43,0.021
,,00007.076480,D1_23,0.019
,,00007.095360,B5_32,0.028
,,00007.110640,C4_11,0.044
,,00007.133280,C6_44,0.032
,,00007.135280,B5_32,0.029
,,00007.142160,A3_11,0.029
,,00007.172800,B5_32,0.033
,,00007.198560,B4_13,0.026
,,00007.210960,C6_22,0.039
,,00007.211840,B3_44,0.027
,,00007.213120,B5_32,0.03
,,00007.213920,C6_22,0.016
,,00007.244080,C6_22,0.031
,,00007.253120,C4_13,0.024
,,00007.254000,B5_32,0.028
,,00007.256800,B3_43,0.023
,,00007.274080,C6_42,0.021
,,00007.287680,C6_22,0.025
,,00007.294560,B5_32,0.034
,,00007.301360,C6_32,0.021
,,00007.336320,B5_32,0.028
,,00007.340720,D1_34,0.014
,,00007.346640,D1_33,0.06
,,00007.347840,C6_22,0.015
,,00007.358800,C6_43,0.036
,,00007.361440,C1_44,0.082
,,00007.384960,B5_32,0.025
,,00007.390080,C4_12,0.038
,,00007.396800,A1_32,0.05
,,00007.411600,D1_33,0.04
,,00007.413680,A1_31,0.016
,,00007.419200,B5_31,0.045
,,00007.428240,D1_44,0.013
,,00007.429200,D1_22,0.038
,,00007.429360,B5_32,0.027
,,00007.446400,D6_34,0.022
,,00007.446800,C6_42,0.025
,,00007.462880,B5_21,0.026
,,00007.471840,B5_32,0.027
,,00007.472960,C1_44,0.041
,,00007.477760,D3_43,0.03
,,00007.487280,A1_22,0.02
,,00007.497280,A4_44,0.025
,,00007.502080,C4_13,0.025
,,00007.509680,B5_32,0.028
,,00007.542160,D1_33,0.105
,,00007.574560,A5_44,0.027
,,00007.586720,B4_13,0.024
,,00007.602960,C4_23,0.031
,,00007.609280,C4_23,0.033
,,00007.610080,B5_32,0.029
,,00007.620720,C1_32,0.019
,,00007.659600,B5_32,0.026
,,00007.669040,C4_42,0.025
,,00007.686000,C4_14,0.077
,,00007.687360,B5_33,0.098
,,00007.691440,B5_33,0.023
,,00007.712880,B5_32,0.029
,,00007.725200,C6_22,0.021
,,00007.753600,A3_33,0.03
,,00007.757280,C6_31,0.027
,,00007.763200,D4_42,0.02
,,00007.813360,C6_44,0.024
,,00007.820320,A2_21,0.021
,,00007.827360,D1_34,0.014
,,00007.829920,D1_33,0.041
,,00007.840080,A1_31,0.02
,,00007.873360,B3_42,0.026
,,00007.920240,C4_42,0.028
,,00007.927600,D4_33,0.022
,,00007.951760,A3_33,0.035
,,00007.975840,C6_43,0.029
,,00007.987840,B5_31,0.04
,,00007.998240,C1_34,0.029
,,00008.005920,A4_32,0.021
,,00008.030800,C4_13,0.024
,,00008.034640,C2_32,0.025
,,00008.047200,D6_44,0.017
,,00008.058720,B1_31,0.032
,,00008.066080,B3_22,0.02
,,00008.072000,A3_33,0.025
,,00008.082640,A1_32,0.053
,,00008.096400,D6_44,0.018
,,00008.100160,A4_32,0.021
,,00008.106640,B1_31,0.021
,,00008.151840,C1_32,0.019
,,00008.161360,A2_14,0.026
,,00008.163920,B1_31,0.017
,,00008.183440,C4_23,0.043
,,00008.198240,C6_44,0.031
,,00008.200320,D1_33,0.049
,,00008.230160,A3_22,0.027
,,00008.244720,C2_32,0.027
,,00008.276240,C6_31,0.025
,,00008.287520,D3_13,0.021
,,00008.294400,A4_44,0.068
,,00008.300000,A2_11,0.02
,,00008.315760,C3_22,0.012
,,00008.347600,A4_11,0.036
,,00008.354240,B5_32,0.037
,,00008.392000,C4_22,0.058
,,00008.404400,B5_32,0.023
,,00008.412880,C6_43,0.025
,,00008.426960,D3_12,0.02
,,00008.445200,D2_31,0.02
,,00008.457120,B5_32,0.028
,,00008.467520,D6_43,0.022
,,00008.467760,C4_13,0.023
,,00008.473600,C5_32,0.015
,,00008.477280,D6_34,0.014
,,00008.485760,C6_31,0.021
,,00008.506560,D1_33,0.1
,,00008.519920,D1_33,0.066
,,00008.542560,C4_12,0.036
,,00008.558640,D3_12,0.028
,,00008.567520,D3_42,0.011
,,00008.568400,D1_23,0.021
,,00008.578960,C4_12,0.046
,,00008.583600,C6_42,0.058
,,00008.596720,C4_12,0.035
,,00008.603440,C4_12,0.043
,,00008.606000,D4_33,0.02
,,00008.629680,D1_23,0.022
,,00008.634000,D1_23,0.02
,,00008.636960,B3_43,0.024
,,00008.638480,C1_44,0.081
,,00008.640960,C6_42,0.058
,,00008.652640,A5_31,0.016
,,00008.689760,D1_23,0.022
,,00008.699840,A5_31,0.021
,,00008.704080,C4_12,0.041
