Investigator,Ghislaine,Time (s),Electrode,Amplitude(mV),,,,,,,,,,,,,,,,,,,,
,,2.63216,B1_14,0.02,,,,,,,,,,,,,,,,,,,,
,,2.63504,B1_22,0.014,,,,,,,,,,,,,,,,,,,,
,,2.6352,B1_24,0.012,,,,,,,,,,,,,,,,,,,,
,,2.63576,B1_32,0.022,,,,,,,,,,,,,,,,,,,,
,,2.63848,B1_14,0.016,,,,,,,,,,,,,,,,,,,,
,,2.63856,B1_24,0.021,,,,,,,,,,,,,,,,,,,,
,,2.63928,B1_12,0.019,,,,,,,,,,,,,,,,,,,,
,,2.64096,B1_24,0.015,,,,,,,,,,,,,,,,,,,,
,,2.64152,B1_23,0.03,,,,,,,,,,,,,,,,,,,,
,,2.64168,B1_33,0.017,,,,,,,,,,,,,,,,,,,,
,,2.64432,A4_24,0.021,,,,,,,,,,,,,,,,,,,,
,,2.64464,B1_24,0.018,,,,,,,,,,,,,,,,,,,,
,,2.64712,B1_12,0.023,,,,,,,,,,,,,,,,,,,,
