Investigator,Ghislaine,Time (s),Electrode,Amplitude(mV),,,,,,,,,,,,,,,,,,,,
,,18.6012,D6_33,0.02,,,,,,,,,,,,,,,,,,,,
,,18.74784,B1_14,0.013,,,,,,,,,,,,,,,,,,,,
,,18.77584,B3_11,0.02,,,,,,,,,,,,,,,,,,,,
,,19.01136,D6_33,0.019,,,,,,,,,,,,,,,,,,,,
,,19.2524,C3_11,0.012,,,,,,,,,,,,,,,,,,,,
,,19.358,C4_14,0.018,,,,,,,,,,,,,,,,,,,,
,,19.37264,A4_43,0.016,,,,,,,,,,,,,,,,,,,,
,,19.44904,B3_41,0.012,,,,,,,,,,,,,,,,,,,,
,,19.58808,B3_32,0.017,,,,,,,,,,,,,,,,,,,,
,,19.64376,C4_24,0.014,,,,,,,,,,,,,,,,,,,,
,,19.67768,A4_13,0.014,,,,,,,,,,,,,,,,,,,,
,,19.75968,A5_23,0.025,,,,,,,,,,,,,,,,,,,,
,,19.78936,A4_21,0.024,,,,,,,,,,,,,,,,,,,,
,,20.01768,A5_23,0.025,,,,,,,,,,,,,,,,,,,,
,,20.03616,B1_43,0.013,,,,,,,,,,,,,,,,,,,,
,,20.08616,A5_23,0.021,,,,,,,,,,,,,,,,,,,,
,,20.16776,A5_23,0.019,,,,,,,,,,,,,,,,,,,,
,,20.21832,C4_13,0.012,,,,,,,,,,,,,,,,,,,,
,,20.23952,B3_32,0.016,,,,,,,,,,,,,,,,,,,,
,,20.2428,A5_23,0.023,,,,,,,,,,,,,,,,,,,,
,,20.25576,A5_23,0.019,,,,,,,,,,,,,,,,,,,,
,,20.33344,D6_33,0.02,,,,,,,,,,,,,,,,,,,,
,,20.3676,B3_33,0.021,,,,,,,,,,,,,,,,,,,,
,,20.43456,A4_12,0.022,,,,,,,,,,,,,,,,,,,,
,,20.5036,A5_23,0.015,,,,,,,,,,,,,,,,,,,,
,,20.5348,B1_24,0.021,,,,,,,,,,,,,,,,,,,,
,,20.64552,A4_21,0.018,,,,,,,,,,,,,,,,,,,,
,,20.66656,A4_11,0.011,,,,,,,,,,,,,,,,,,,,
,,20.67336,A4_13,0.015,,,,,,,,,,,,,,,,,,,,
,,20.71208,B3_33,0.019,,,,,,,,,,,,,,,,,,,,
,,20.81776,A4_13,0.015,,,,,,,,,,,,,,,,,,,,
,,20.82472,A4_21,0.018,,,,,,,,,,,,,,,,,,,,
,,21.04056,C4_24,0.016,,,,,,,,,,,,,,,,,,,,
,,21.0424,A4_12,0.02,,,,,,,,,,,,,,,,,,,,
,,21.1264,A5_23,0.023,,,,,,,,,,,,,,,,,,,,
,,21.154,B3_21,0.015,,,,,,,,,,,,,,,,,,,,
,,21.17352,A4_11,0.013,,,,,,,,,,,,,,,,,,,,
,,21.29976,A4_11,0.014,,,,,,,,,,,,,,,,,,,,
,,21.32296,D6_33,0.021,,,,,,,,,,,,,,,,,,,,
,,21.33544,A4_13,0.015,,,,,,,,,,,,,,,,,,,,
,,21.3368,A4_21,0.023,,,,,,,,,,,,,,,,,,,,
,,21.4748,D6_33,0.02,,,,,,,,,,,,,,,,,,,,
,,21.48384,B3_21,0.018,,,,,,,,,,,,,,,,,,,,
,,21.85504,D1_33,0.011,,,,,,,,,,,,,,,,,,,,
,,21.97144,A4_12,0.022,,,,,,,,,,,,,,,,,,,,
,,21.98008,B3_14,0.019,,,,,,,,,,,,,,,,,,,,
,,22.01632,B3_14,0.017,,,,,,,,,,,,,,,,,,,,
,,22.02264,B3_14,0.017,,,,,,,,,,,,,,,,,,,,
,,22.10696,D6_33,0.016,,,,,,,,,,,,,,,,,,,,
,,22.1552,B3_14,0.02,,,,,,,,,,,,,,,,,,,,
,,22.24728,B3_14,0.023,,,,,,,,,,,,,,,,,,,,
,,22.27712,B3_14,0.019,,,,,,,,,,,,,,,,,,,,
,,22.38392,B1_43,0.011,,,,,,,,,,,,,,,,,,,,
,,22.4004,B1_11,0.02,,,,,,,,,,,,,,,,,,,,
,,22.43416,A4_21,0.018,,,,,,,,,,,,,,,,,,,,
,,22.45816,B3_14,0.019,,,,,,,,,,,,,,,,,,,,
,,22.5324,B3_14,0.018,,,,,,,,,,,,,,,,,,,,
,,22.57672,B3_14,0.014,,,,,,,,,,,,,,,,,,,,
,,22.63152,A4_12,0.012,,,,,,,,,,,,,,,,,,,,
,,22.63808,B3_11,0.019,,,,,,,,,,,,,,,,,,,,
,,22.6496,B3_14,0.018,,,,,,,,,,,,,,,,,,,,
,,22.68792,A5_23,0.013,,,,,,,,,,,,,,,,,,,,
,,22.736,D6_21,0.015,,,,,,,,,,,,,,,,,,,,
,,22.75456,B4_43,0.029,,,,,,,,,,,,,,,,,,,,
,,22.78296,B3_14,0.019,,,,,,,,,,,,,,,,,,,,
,,22.79648,B3_21,0.015,,,,,,,,,,,,,,,,,,,,
,,22.82152,D4_12,0.015,,,,,,,,,,,,,,,,,,,,
,,22.8436,C4_24,0.02,,,,,,,,,,,,,,,,,,,,
,,22.91648,A5_23,0.019,,,,,,,,,,,,,,,,,,,,
,,22.94848,A5_23,0.022,,,,,,,,,,,,,,,,,,,,
