Investigator,Ghislaine,Time (s),Electrode,Amplitude(mV)
,,1.06888,C6_21,0.046
,,1.06904,C2_33,0.045
,,1.07072,C2_32,0.04
,,1.07136,C2_23,0.037
,,1.076,C4_33,0.083
,,1.07616,C2_22,0.031
,,1.08376,C6_31,0.027
,,1.08504,C3_42,0.073
,,1.08672,C3_32,0.043
,,1.09064,C1_22,0.041
,,1.09096,C3_33,0.037
,,1.09688,C3_42,0.035
,,1.10008,C5_33,0.019
,,1.10048,C1_11,0.061
,,1.10248,C2_33,0.063
,,1.10936,C4_12,0.018
,,1.11352,C4_33,0.031
,,1.11648,C3_33,0.043
,,1.12832,C6_31,0.044
,,1.12944,C5_22,0.032
,,1.12976,C5_33,0.019
,,1.1348,C1_43,0.038
,,1.1364,C3_33,0.04
,,1.1404,C2_33,0.037
,,1.14064,C1_21,0.039
,,1.14104,C2_31,0.03
,,1.1416,C1_22,0.037
,,1.14192,C1_31,0.032
,,1.14448,C3_43,0.055
,,1.14504,C6_23,0.021
,,1.14752,C4_33,0.028
,,1.14848,C2_22,0.033
,,1.152,C1_31,0.046
,,1.16496,C1_41,0.029
,,1.16616,C2_22,0.039
,,1.16704,C3_33,0.045
,,1.16768,C3_41,0.018
,,1.17144,C5_42,0.041
,,1.18368,C2_32,0.032
,,1.1856,C1_11,0.027
,,1.18864,C2_31,0.039
,,1.19,C2_23,0.027
,,1.1904,C3_31,0.026
,,1.1968,C2_31,0.049
,,1.19872,C5_34,0.063
,,1.19912,C2_33,0.129
,,1.20328,C6_11,0.021
,,1.21,C1_21,0.052
,,1.21376,C6_23,0.023
,,1.21608,C5_31,0.026
,,1.22104,C3_42,0.023
,,1.2244,C1_42,0.218
,,1.2316,C5_33,0.021
,,1.23328,C1_31,0.022
,,1.24128,C3_43,0.032
,,1.24432,C1_42,0.071
,,1.24472,C3_31,0.031
,,1.26712,C3_42,0.024
,,1.26736,C3_32,0.125
,,1.27744,C1_43,0.023
,,1.27848,C4_34,0.024
,,1.2816,C4_33,0.029
,,1.28184,C3_33,0.045
,,1.28232,C1_42,0.054
,,1.28488,C6_21,0.052
,,1.28672,C2_31,0.06
,,1.28832,C2_33,0.049
,,1.28952,C2_23,0.029
,,1.29288,C3_31,0.026
,,1.2956,C2_33,0.035
,,1.29824,C6_11,0.023
,,1.3024,C4_12,0.022
,,1.3036,C5_32,0.022
,,1.3068,C1_11,0.042
,,1.31312,C2_33,0.03
,,1.3176,C5_31,0.022
,,1.31824,C3_33,0.035
,,1.31944,C1_41,0.022
,,1.3216,C4_33,0.038
,,1.324,C1_42,0.036
,,1.33376,C1_31,0.027
,,1.33928,C5_22,0.029
,,1.34432,C1_22,0.04
,,1.34464,C3_33,0.03
,,1.34968,C1_21,0.037
,,1.34968,C3_33,0.034
,,1.35072,C1_22,0.035
,,1.35216,C1_31,0.032
,,1.35224,C3_42,0.026
,,1.35432,C5_33,0.02
,,1.3576,C5_33,0.02
,,1.36008,C6_42,0.02
