Investigator,Ghislaine,Time (s),Electrode,Amplitude(mV)
,,11.93128,C5_32,0.039
,,11.97992,C1_44,0.011
,,11.99816,C5_42,0.03
,,12.03176,C6_22,0.02
,,12.046,C3_33,0.042
,,12.08176,C6_22,0.022
,,12.10408,C1_22,0.023
,,12.15016,C5_32,0.031
,,12.19488,C1_23,0.015
,,12.22464,C5_42,0.039
,,12.26168,C1_43,0.024
,,12.2724,C2_23,0.021
,,12.28544,C1_43,0.022
,,12.3024,C5_32,0.038
,,12.3208,C2_23,0.03
,,12.362,C2_23,0.018
,,12.36616,C1_43,0.018
,,12.3664,C5_43,0.035
,,12.40688,C6_22,0.021
,,12.47624,C5_42,0.03
,,12.48368,C3_33,0.038
,,12.48592,C2_23,0.021
,,12.49184,C2_23,0.034
,,12.516,C5_32,0.04
,,12.53176,C5_42,0.037
,,12.55368,C2_33,0.02
,,12.57448,C5_43,0.024
,,12.58016,C5_32,0.053
,,12.59104,C6_22,0.022
,,12.61608,C5_43,0.069
,,12.66112,C5_32,0.035
,,12.68904,C5_42,0.041
,,12.7124,C1_22,0.019
,,12.74144,C3_23,0.015
,,12.74592,C2_23,0.019
,,12.75832,C1_43,0.02
,,12.77824,C1_43,0.017
,,12.78448,C1_43,0.02
,,12.79328,C2_23,0.037
,,12.79704,C5_42,0.036
,,12.79848,C6_22,0.021
,,12.82872,C1_43,0.015
,,12.872,C1_43,0.023
,,12.9016,C5_32,0.041
,,12.94752,C1_43,0.022
,,12.9668,C5_42,0.031
,,12.976,C2_23,0.024
,,13.002,C2_23,0.02
,,13.05056,C5_43,0.027
,,13.05168,C5_42,0.033
,,13.06104,C5_42,0.034
,,13.07216,C1_43,0.019
,,13.0776,C3_13,0.027
,,13.11296,C1_22,0.022
,,13.11912,C3_23,0.012
,,13.12248,C5_32,0.048
,,13.14008,C6_22,0.017
,,13.1428,C5_42,0.071
,,13.14824,C3_23,0.015
,,13.15248,C6_22,0.02
,,13.16104,C5_42,0.035
,,13.21776,C5_32,0.049
,,13.22664,C1_43,0.019
,,13.244,C5_32,0.037
,,13.26072,C5_42,0.042
,,13.27208,C5_42,0.032
,,13.2784,C2_33,0.019
,,13.28016,C5_42,0.035
,,13.2824,C2_33,0.02
,,13.28264,C5_42,0.026
,,13.28832,C5_42,0.023
,,13.31776,C1_43,0.02
,,13.34512,C5_43,0.031
,,13.34936,C5_42,0.029
,,13.37224,C5_42,0.028
,,13.37736,C2_23,0.031
,,13.3948,C5_43,0.028
,,13.39944,C1_43,0.022
,,13.44384,C5_32,0.045
,,13.45008,C3_33,0.036
,,13.466,C3_13,0.024
,,13.49288,C6_22,0.023
,,13.51008,C6_22,0.046
,,13.52576,C5_43,0.029
,,13.5324,C3_42,0.023
,,13.54232,C5_42,0.036
,,13.61216,C1_43,0.02
,,13.61456,C1_43,0.09
,,13.61728,C1_43,0.013
,,13.64448,C1_43,0.018
,,13.67304,C1_43,0.026
,,13.7616,C5_42,0.039
,,13.79832,C2_23,0.024
,,13.80032,C3_13,0.039
,,13.80736,C1_43,0.022
,,13.81088,C3_33,0.037
,,13.83128,C2_23,0.019
,,13.846,C5_42,0.035
,,13.87424,C6_22,0.025
,,13.92568,C3_23,0.013
,,13.93312,C5_43,0.025
,,13.95384,C2_33,0.022
,,13.9616,C2_23,0.028
,,13.97872,C2_32,0.017
,,14.02064,C1_43,0.08
,,14.02624,C1_43,0.026
,,14.11424,C1_22,0.026
,,14.11664,C2_32,0.016
,,14.1736,C6_22,0.025
,,14.23056,C5_42,0.033
,,14.24752,C3_23,0.012
,,14.26896,C3_43,0.02
,,14.27688,C2_23,0.023
,,14.27768,C1_12,0.012
,,14.28176,C5_42,0.045
,,14.28912,C3_33,0.038
,,14.29008,C1_43,0.022
,,14.30744,C2_23,0.021
,,14.3356,C3_13,0.032
,,14.39336,C6_22,0.018
,,14.41112,C5_43,0.026
,,14.42544,C2_23,0.017
,,14.45864,C5_42,0.051
,,14.46584,C5_43,0.026
,,14.4864,C1_43,0.017
,,14.51328,C5_42,0.036
,,14.53944,C5_43,0.059
,,14.61192,C2_23,0.029
,,14.67408,C3_23,0.01
,,14.73496,C6_22,0.019
,,14.74176,C6_22,0.019
,,14.74744,C1_43,0.016
,,14.76336,C2_33,0.028
,,14.7908,C3_33,0.038
