Investigator,Ghislaine,,,,Time (s),Electrode,Amplitude(mV)
,,,,,11.21216,C2_22,0.015
,,,,,11.2372,C3_44,0.032
,,,,,11.26528,C3_42,0.018
,,,,,11.30568,C3_43,0.016
,,,,,11.32776,C3_42,0.018
,,,,,11.38112,C3_42,0.019
,,,,,11.39048,C3_32,0.013
,,,,,11.4348,C3_42,0.02
,,,,,11.77256,C5_13,0.03
,,,,,11.80544,C2_22,0.017
,,,,,11.83552,C2_22,0.021
,,,,,11.92208,C2_34,0.031
,,,,,12.48552,C3_33,0.014
,,,,,12.53632,C3_33,0.04
,,,,,12.5368,C3_43,0.033
,,,,,12.53952,C3_41,0.009
,,,,,12.55912,C3_33,0.035
,,,,,12.55952,C3_31,0.028
,,,,,12.5596,C3_43,0.056
,,,,,12.56096,C3_42,0.024
,,,,,12.56472,C3_33,0.039
,,,,,12.56512,C3_43,0.035
,,,,,12.5988,C2_12,0.018
,,,,,12.86432,C5_32,0.027
,,,,,12.99624,C1_34,0.019
,,,,,13.00176,C3_33,0.021
,,,,,13.32296,C1_34,0.015
,,,,,13.33944,C5_32,0.021
,,,,,13.60088,C3_33,0.023
,,,,,13.63472,C3_33,0.04
,,,,,13.6352,C3_43,0.037
,,,,,13.63712,C3_32,0.015
,,,,,13.64944,C3_33,0.032
,,,,,13.64992,C3_31,0.029
,,,,,13.65,C3_43,0.059
,,,,,13.65088,C3_42,0.031
,,,,,13.6716,C5_32,0.031
,,,,,13.67296,C3_33,0.041
,,,,,13.6736,C3_43,0.046
,,,,,13.67456,C3_32,0.02
,,,,,13.67624,C3_41,0.01
,,,,,13.67896,C3_31,0.044
,,,,,13.67912,C3_33,0.044
,,,,,13.67928,C3_42,0.075
,,,,,13.67928,C3_43,0.048
,,,,,13.67936,C3_32,0.018
,,,,,13.67952,C3_41,0.013
,,,,,13.68176,C3_43,0.085
,,,,,13.68176,C3_44,0.069
,,,,,13.68184,C3_33,0.035
,,,,,13.68216,C3_34,0.011
,,,,,13.68232,C3_32,0.042
,,,,,13.68256,C3_42,0.019
,,,,,13.68472,C3_43,0.153
,,,,,13.68512,C3_31,0.017
,,,,,13.6852,C3_42,0.037
,,,,,13.68544,C3_32,0.024
,,,,,13.68568,C3_41,0.01
,,,,,13.68712,C3_44,0.069
,,,,,13.68848,C3_32,0.028
,,,,,13.68904,C3_31,0.021
,,,,,13.68976,C3_42,0.022
,,,,,13.69296,C3_33,0.027
,,,,,13.6932,C3_32,0.033
,,,,,13.69416,C3_43,0.022
,,,,,13.70016,C3_33,0.019
,,,,,13.70024,C3_44,0.017
,,,,,13.8428,C3_33,0.062
,,,,,13.84304,C3_43,0.067
,,,,,13.84336,C3_32,0.038
,,,,,13.8536,C1_34,0.013
,,,,,13.88672,C5_32,0.022
,,,,,14.06264,C1_34,0.015
,,,,,14.12904,C3_33,0.023
,,,,,14.14216,C3_33,0.033
,,,,,14.14248,C3_32,0.023
,,,,,14.14608,C3_32,0.022
,,,,,14.15008,C3_32,0.012
,,,,,14.15512,C3_33,0.017
,,,,,14.16336,C3_32,0.016
,,,,,14.16592,C3_32,0.027
,,,,,14.16792,C3_33,0.038
,,,,,14.16824,C3_32,0.023
,,,,,14.17184,C3_33,0.021
,,,,,14.1844,C3_31,0.015
,,,,,14.18632,C3_32,0.02
,,,,,14.18896,C3_32,0.019
,,,,,14.19336,C3_32,0.018
,,,,,14.19888,C3_43,0.02
,,,,,14.2016,C3_41,0.01
,,,,,14.20192,C3_33,0.027
,,,,,14.20216,C3_32,0.034
,,,,,14.20344,C3_43,0.018
,,,,,14.2096,C3_32,0.018
,,,,,14.21304,C3_31,0.02
,,,,,14.21496,C3_41,0.01
,,,,,14.2156,C3_42,0.032
,,,,,14.2176,C3_41,0.017
,,,,,14.21888,C3_33,0.018
,,,,,14.22064,C3_31,0.022
,,,,,14.22688,C3_33,0.043
,,,,,14.22728,C3_43,0.035
,,,,,14.22912,C3_41,0.012
,,,,,14.22936,C3_33,0.036
,,,,,14.22952,C3_32,0.03
,,,,,14.22952,C3_43,0.065
,,,,,14.2304,C3_42,0.053
,,,,,14.23072,C3_31,0.029
,,,,,14.23176,C3_43,0.034
,,,,,14.23208,C3_32,0.021
,,,,,14.2328,C3_42,0.023
,,,,,14.23848,C3_43,0.069
,,,,,14.23952,C3_33,0.016
,,,,,14.23984,C3_32,0.016
,,,,,14.2408,C3_41,0.011
,,,,,14.24168,C3_31,0.023
,,,,,14.24224,C3_44,0.022
,,,,,14.2432,C3_42,0.021
,,,,,14.24576,C3_33,0.032
,,,,,14.24608,C3_32,0.024
,,,,,14.24776,C3_44,0.017
,,,,,14.248,C3_42,0.044
,,,,,14.24872,C3_31,0.026
,,,,,14.26272,C3_33,0.043
,,,,,14.2632,C3_43,0.031
,,,,,14.26464,C3_32,0.025
,,,,,14.26616,C3_43,0.033
,,,,,14.26928,C3_43,0.062
,,,,,14.26936,C3_33,0.064
,,,,,14.26992,C3_32,0.037
,,,,,14.32144,C3_33,0.022
,,,,,14.34032,C3_43,0.017
,,,,,14.35568,C3_44,0.016
,,,,,14.38416,C3_33,0.024
,,,,,14.38456,C3_32,0.039
,,,,,14.398,C2_32,0.019
,,,,,14.47432,C3_44,0.014
,,,,,14.5936,C3_33,0.059
,,,,,14.59376,C3_43,0.062
,,,,,14.59416,C3_32,0.03
,,,,,14.67944,C1_12,0.016
,,,,,14.70688,C3_31,0.017
,,,,,14.996,C3_32,0.023
,,,,,14.99712,C3_43,0.013
,,,,,15.00248,C3_32,0.02
,,,,,15.00576,C3_32,0.017
,,,,,15.01264,C3_44,0.021
,,,,,15.01632,C3_32,0.017
,,,,,15.0272,C3_31,0.016
,,,,,15.02744,C3_32,0.022
,,,,,15.03064,C3_42,0.018
,,,,,15.03416,C3_42,0.023
,,,,,15.03944,C3_43,0.022
,,,,,15.0508,C2_33,0.023
,,,,,15.0544,C3_43,0.014
,,,,,15.06496,C2_31,0.033
,,,,,15.09816,C3_33,0.063
,,,,,15.09832,C3_43,0.069
,,,,,15.09864,C3_32,0.042
,,,,,15.10984,C3_33,0.034
,,,,,15.11024,C3_31,0.026
,,,,,15.11032,C3_43,0.059
,,,,,15.11168,C3_42,0.022
,,,,,15.11848,C3_31,0.029
,,,,,15.1292,C3_43,0.015
,,,,,15.13296,C3_33,0.037
,,,,,15.13336,C3_43,0.035
,,,,,15.1436,C2_33,0.017
,,,,,15.14448,C3_42,0.014
,,,,,15.14544,C3_43,0.069
,,,,,15.14624,C3_33,0.016
,,,,,15.14792,C3_41,0.01
,,,,,15.14808,C3_43,0.013
,,,,,15.14928,C3_33,0.016
,,,,,15.16056,C3_33,0.045
,,,,,15.16096,C3_43,0.035
,,,,,15.164,C3_43,0.018
,,,,,15.25024,C2_22,0.065
,,,,,15.32872,C2_12,0.019
,,,,,15.36824,C5_13,0.029
,,,,,15.4116,C3_33,0.021
,,,,,15.4968,C3_31,0.021
,,,,,15.53464,C3_41,0.013
,,,,,15.5424,C3_32,0.019
,,,,,15.5448,C3_42,0.016
,,,,,15.54776,C3_43,0.059
,,,,,15.54816,C3_44,0.016
,,,,,15.54856,C3_33,0.058
,,,,,15.54904,C3_32,0.039
,,,,,15.60064,C3_43,0.016
,,,,,15.64736,C3_33,0.058
,,,,,15.6476,C3_43,0.057
,,,,,15.64792,C3_32,0.035
,,,,,15.67904,C3_33,0.031
,,,,,15.67944,C3_31,0.029
,,,,,15.67952,C3_43,0.062
,,,,,15.6804,C3_42,0.034
,,,,,15.73024,C5_13,0.029
,,,,,15.73904,C5_32,0.018
,,,,,15.78472,C5_32,0.022
,,,,,15.79888,C5_14,0.017
,,,,,15.8112,C5_32,0.025
,,,,,15.82232,C3_43,0.014
,,,,,15.82272,C5_14,0.018
,,,,,15.8464,C3_43,0.013
,,,,,15.84792,C5_14,0.019
,,,,,15.86152,C3_32,0.02
,,,,,15.8616,C5_44,0.023
,,,,,15.88136,C3_33,0.03
,,,,,15.8816,C3_32,0.032
,,,,,15.89808,C3_33,0.042
,,,,,15.89848,C3_43,0.039
,,,,,15.90144,C3_43,0.017
,,,,,15.91872,C3_33,0.028
,,,,,15.91912,C3_31,0.031
,,,,,15.9192,C3_43,0.061
,,,,,15.92056,C3_42,0.023
,,,,,15.92224,C3_33,0.019
,,,,,15.95848,C3_33,0.037
,,,,,15.95896,C3_43,0.04
,,,,,16.04744,C3_33,0.03
,,,,,16.04784,C3_31,0.031
,,,,,16.04792,C3_43,0.054
,,,,,16.04928,C3_42,0.022
,,,,,16.05032,C3_43,0.061
,,,,,16.0504,C3_33,0.061
,,,,,16.05096,C3_32,0.03
,,,,,16.08808,C2_12,0.016
,,,,,16.11496,C5_14,0.018
,,,,,16.16192,C3_43,0.015
,,,,,16.33496,C4_11,0.033
,,,,,16.38816,C5_14,0.019
,,,,,16.39696,C5_13,0.029
,,,,,16.56368,C5_32,0.022
,,,,,16.67312,C3_33,0.038
,,,,,16.67352,C3_43,0.04
,,,,,16.67568,C3_33,0.035
,,,,,16.67616,C3_43,0.022
,,,,,16.67912,C3_33,0.031
,,,,,16.6796,C3_31,0.028
,,,,,16.6796,C3_43,0.058
,,,,,16.68096,C3_42,0.025
,,,,,16.70416,C3_33,0.04
,,,,,16.7048,C3_43,0.033
,,,,,16.70992,C3_33,0.014
,,,,,16.74256,C3_32,0.019
,,,,,16.74872,C3_44,0.06
,,,,,16.74896,C3_32,0.022
,,,,,16.7504,C3_43,0.087
,,,,,16.75096,C3_33,0.018
,,,,,16.76208,C5_32,0.021
,,,,,16.90128,C3_33,0.061
,,,,,16.90152,C3_43,0.06
,,,,,16.90176,C3_32,0.033
,,,,,16.90672,C3_33,0.017
,,,,,17.1852,C2_22,0.063
,,,,,17.1852,C2_41,0.022
,,,,,17.22984,C3_33,0.04
,,,,,17.23048,C3_43,0.034
,,,,,17.23224,C3_33,0.034
,,,,,17.23272,C3_42,0.02
,,,,,17.23272,C3_43,0.038
,,,,,17.25784,C3_33,0.032
,,,,,17.25848,C3_31,0.03
,,,,,17.25848,C3_43,0.059
,,,,,17.25984,C3_42,0.027
,,,,,17.39128,C5_13,0.029
,,,,,17.4948,C3_33,0.014
,,,,,17.54064,C5_14,0.02
,,,,,17.65472,C5_14,0.018
,,,,,17.90216,C6_31,0.037
,,,,,17.90968,C6_42,0.019
,,,,,17.91408,C6_31,0.026
,,,,,17.92448,C6_42,0.018
,,,,,17.92544,C6_31,0.028
,,,,,17.93808,C6_31,0.026
,,,,,17.95304,C6_31,0.025
,,,,,17.96864,C6_31,0.026
,,,,,17.97104,C6_42,0.018
,,,,,17.9888,C6_31,0.029
,,,,,18.00736,C6_31,0.026
,,,,,18.03072,C6_31,0.025
,,,,,18.0324,C6_42,0.022
,,,,,18.06672,C6_31,0.034
,,,,,18.11504,C6_31,0.025
,,,,,18.1396,C6_31,0.025
