Investigator,ghislaine,Time (s),Electrode,Amplitude(mV),,,,,,,,,,,,,,,,,,,,
,,13.14624,C1_33,0.023,,,,,,,,,,,,,,,,,,,,
,,13.17912,C1_24,0.017,,,,,,,,,,,,,,,,,,,,
,,13.23424,B1_32,0.015,,,,,,,,,,,,,,,,,,,,
,,13.31072,A1_31,0.019,,,,,,,,,,,,,,,,,,,,
,,13.31568,A5_12,0.02,,,,,,,,,,,,,,,,,,,,
,,13.33616,C2_33,0.018,,,,,,,,,,,,,,,,,,,,
,,13.34448,B1_32,0.016,,,,,,,,,,,,,,,,,,,,
,,13.4828,B6_23,0.02,,,,,,,,,,,,,,,,,,,,
,,13.56584,C1_24,0.022,,,,,,,,,,,,,,,,,,,,
,,13.5824,C1_33,0.025,,,,,,,,,,,,,,,,,,,,
,,13.6356,C1_34,0.014,,,,,,,,,,,,,,,,,,,,
,,13.6496,C2_33,0.015,,,,,,,,,,,,,,,,,,,,
,,13.6696,A1_31,0.02,,,,,,,,,,,,,,,,,,,,
,,13.7288,C1_33,0.014,,,,,,,,,,,,,,,,,,,,
,,13.87304,C3_22,0.02,,,,,,,,,,,,,,,,,,,,
,,13.97432,A1_31,0.02,,,,,,,,,,,,,,,,,,,,
,,13.98416,C2_33,0.019,,,,,,,,,,,,,,,,,,,,
,,13.9928,C2_31,0.015,,,,,,,,,,,,,,,,,,,,
,,14.0564,A2_33,0.019,,,,,,,,,,,,,,,,,,,,
,,14.31648,A5_12,0.018,,,,,,,,,,,,,,,,,,,,
,,14.37536,A1_31,0.019,,,,,,,,,,,,,,,,,,,,
,,14.4112,C1_24,0.019,,,,,,,,,,,,,,,,,,,,
,,14.6336,A1_31,0.019,,,,,,,,,,,,,,,,,,,,
,,14.73888,C2_33,0.016,,,,,,,,,,,,,,,,,,,,
,,14.81272,C1_33,0.023,,,,,,,,,,,,,,,,,,,,
,,14.84088,C1_24,0.02,,,,,,,,,,,,,,,,,,,,
,,14.88872,A1_31,0.019,,,,,,,,,,,,,,,,,,,,
,,14.96408,A5_12,0.017,,,,,,,,,,,,,,,,,,,,
,,15.01016,C1_33,0.027,,,,,,,,,,,,,,,,,,,,
,,15.20536,C2_33,0.019,,,,,,,,,,,,,,,,,,,,
,,15.24832,B4_43,0.016,,,,,,,,,,,,,,,,,,,,
,,15.34384,C1_31,0.019,,,,,,,,,,,,,,,,,,,,
,,15.492,A2_33,0.015,,,,,,,,,,,,,,,,,,,,
,,15.52288,C1_24,0.017,,,,,,,,,,,,,,,,,,,,
,,15.5572,B6_23,0.017,,,,,,,,,,,,,,,,,,,,
,,15.6008,C2_33,0.017,,,,,,,,,,,,,,,,,,,,
,,15.61288,C2_33,0.013,,,,,,,,,,,,,,,,,,,,
,,15.61928,C1_24,0.017,,,,,,,,,,,,,,,,,,,,
,,15.64456,A1_31,0.017,,,,,,,,,,,,,,,,,,,,
,,15.72248,C2_31,0.021,,,,,,,,,,,,,,,,,,,,
,,15.84736,A5_12,0.018,,,,,,,,,,,,,,,,,,,,
,,15.88624,C1_22,0.014,,,,,,,,,,,,,,,,,,,,
,,15.89504,C1_33,0.023,,,,,,,,,,,,,,,,,,,,
,,15.9512,C1_12,0.016,,,,,,,,,,,,,,,,,,,,
,,15.98464,A1_31,0.02,,,,,,,,,,,,,,,,,,,,
,,15.98736,C2_33,0.019,,,,,,,,,,,,,,,,,,,,
,,16.00512,B1_13,0.015,,,,,,,,,,,,,,,,,,,,
,,16.01104,A5_12,0.017,,,,,,,,,,,,,,,,,,,,
,,16.07512,A1_31,0.015,,,,,,,,,,,,,,,,,,,,
,,16.16336,B6_23,0.02,,,,,,,,,,,,,,,,,,,,
,,16.39128,C2_33,0.021,,,,,,,,,,,,,,,,,,,,
,,16.4288,C2_33,0.013,,,,,,,,,,,,,,,,,,,,
,,16.45512,C1_24,0.02,,,,,,,,,,,,,,,,,,,,
,,16.47624,B4_33,0.023,,,,,,,,,,,,,,,,,,,,
,,16.50136,A5_21,0.012,,,,,,,,,,,,,,,,,,,,
,,16.55448,A1_31,0.021,,,,,,,,,,,,,,,,,,,,
,,16.5668,C1_34,0.015,,,,,,,,,,,,,,,,,,,,
,,16.66696,A5_12,0.017,,,,,,,,,,,,,,,,,,,,
,,16.83432,A1_31,0.019,,,,,,,,,,,,,,,,,,,,
,,16.85592,C2_33,0.019,,,,,,,,,,,,,,,,,,,,
,,16.91472,B6_23,0.02,,,,,,,,,,,,,,,,,,,,
,,17.02424,C1_24,0.017,,,,,,,,,,,,,,,,,,,,
,,17.16072,A1_31,0.02,,,,,,,,,,,,,,,,,,,,
,,17.32408,C2_33,0.018,,,,,,,,,,,,,,,,,,,,
